suspicious_payment_sum_rank,customer_id,customer_name,customer_city,customer_country,window_start_date,window_end_date,window_sum_7d,window_count_7d,avg_prev30_window_sum_7d,avg_prev30_window_count_7d,sum_spike_ratio,payment_staff,payment_stores,distinct_rented_films,total_suspicious_payment_sum
1,550,GUY BROWNLEE,Zhoushan,China,2005-08-17,2005-08-23,59.89,11,18.28,5.0,3.28,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",11,135.73
1,550,GUY BROWNLEE,Zhoushan,China,2005-06-15,2005-06-21,39.94,6,7.99,1.0,5.0,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,135.73
1,550,GUY BROWNLEE,Zhoushan,China,2005-07-27,2005-08-02,35.9,10,9.31,2.0,3.85,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",10,135.73
1,550,GUY BROWNLEE,Zhoushan,China,2005-07-25,2005-07-31,31.92,8,9.31,2.0,3.43,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,135.73
2,21,MICHELLE CLARK,Tangail,Bangladesh,2005-08-16,2005-08-22,72.86,14,15.66,5.0,4.65,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",13,131.72
2,21,MICHELLE CLARK,Tangail,Bangladesh,2005-08-15,2005-08-21,67.87,13,15.66,5.0,4.33,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",12,131.72
2,21,MICHELLE CLARK,Tangail,Bangladesh,2005-08-14,2005-08-20,61.89,11,15.66,5.0,3.95,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,131.72
2,21,MICHELLE CLARK,Tangail,Bangladesh,2005-06-15,2005-06-21,31.95,5,6.98,2.0,4.58,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,131.72
2,21,MICHELLE CLARK,Tangail,Bangladesh,2005-07-26,2005-08-01,25.92,8,8.48,2.0,3.06,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,131.72
2,21,MICHELLE CLARK,Tangail,Bangladesh,2005-07-27,2005-08-02,24.92,8,6.32,1.67,3.95,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,131.72
3,459,TOMMY COLLAZO,Qomsheh,Iran,2005-07-26,2005-08-01,96.84,16,9.63,3.5,10.05,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",16,122.77
3,459,TOMMY COLLAZO,Qomsheh,Iran,2005-07-25,2005-07-31,73.88,12,9.63,3.5,7.67,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",12,122.77
3,459,TOMMY COLLAZO,Qomsheh,Iran,2005-07-24,2005-07-30,60.91,9,9.63,3.5,6.32,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",9,122.77
3,459,TOMMY COLLAZO,Qomsheh,Iran,2005-07-23,2005-07-29,50.93,7,9.63,3.5,5.29,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,122.77
3,459,TOMMY COLLAZO,Qomsheh,Iran,2005-07-22,2005-07-28,29.95,5,9.63,3.5,3.11,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,122.77
3,459,TOMMY COLLAZO,Qomsheh,Iran,2005-06-15,2005-06-21,25.93,7,2.99,1.0,8.67,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,122.77
3,459,TOMMY COLLAZO,Qomsheh,Iran,2005-06-14,2005-06-20,15.94,6,2.99,1.0,5.33,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,122.77
4,66,JANICE WARD,Malm,Sweden,2005-07-05,2005-07-11,48.9,10,15.71,4.0,3.11,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",10,117.73
4,66,JANICE WARD,Malm,Sweden,2005-08-17,2005-08-23,38.9,10,11.17,3.2,3.48,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",10,117.73
4,66,JANICE WARD,Malm,Sweden,2005-06-15,2005-06-21,29.93,7,4.99,1.0,6.0,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,117.73
4,66,JANICE WARD,Malm,Sweden,2005-06-13,2005-06-19,18.95,5,4.99,1.0,3.8,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,117.73
5,522,ARNOLD HAVENS,Santa Rosa,Philippines,2005-07-26,2005-08-01,74.86,14,19.36,4.0,3.87,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",14,115.78
5,522,ARNOLD HAVENS,Santa Rosa,Philippines,2005-07-04,2005-07-10,40.92,8,10.48,2.5,3.91,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,115.78
6,46,CATHERINE CAMPBELL,Moscow,Russian Federation,2005-08-17,2005-08-23,49.87,13,15.16,3.8,3.29,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",13,113.73
6,46,CATHERINE CAMPBELL,Moscow,Russian Federation,2005-07-26,2005-08-01,35.92,8,10.48,2.5,3.43,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,113.73
6,46,CATHERINE CAMPBELL,Moscow,Russian Federation,2005-06-15,2005-06-21,27.94,6,7.98,2.0,3.5,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,113.73
7,403,MIKE WAY,Valparai,India,2005-07-27,2005-08-02,67.87,13,18.63,3.67,3.64,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",13,103.81
7,403,MIKE WAY,Valparai,India,2005-06-15,2005-06-21,35.94,6,3.49,1.5,10.31,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,103.81
7,403,MIKE WAY,Valparai,India,2005-06-14,2005-06-20,29.95,5,3.49,1.5,8.59,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",4,103.81
8,186,HOLLY FOX,Haldia,India,2005-08-17,2005-08-23,54.87,13,15.95,5.2,3.44,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",13,103.73
8,186,HOLLY FOX,Haldia,India,2005-08-16,2005-08-22,53.88,12,15.95,5.2,3.38,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",12,103.73
8,186,HOLLY FOX,Haldia,India,2005-06-14,2005-06-20,25.94,6,2.49,1.5,10.44,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,103.73
8,186,HOLLY FOX,Haldia,India,2005-07-27,2005-08-02,22.92,8,4.99,1.0,4.59,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",8,103.73
8,186,HOLLY FOX,Haldia,India,2005-07-25,2005-07-31,21.93,7,4.99,1.0,4.39,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,103.73
