payment_day,customer_id,customer_name,home_store_id,city_name,country_name,daily_payment_amount,daily_payment_count,rolling_30d_avg_payment_amount,rolling_30d_avg_payment_count,amount_to_30d_avg_ratio,count_to_30d_avg_ratio,related_rental_count,involved_store_ids,involved_staff,involved_staff_count,involved_store_count,country_daily_amount_rank,country_customer_count,country_top_5_percent_cutoff,multiple_staff_or_store_flag
2005-07-05,476,DERRICK BOURQUE,1,Gatineau,Canada,7.99,1,0.43,0.13,18.5,7.5,1,2,2:Jon Stephens,1,1,1,5,1,0
2005-07-05,169,ERICA MATTHEWS,2,Pingxiang,China,8.99,1,0.27,0.07,33.8,15.0,1,1,1:Mike Hillyer,1,1,1,53,3,0
2005-07-05,37,PAMELA BAKER,1,Nanyang,China,7.99,1,0.37,0.1,21.85,10.0,1,2,2:Jon Stephens,1,1,2,53,3,0
2005-07-05,242,GLENDA FRAZIER,1,Qinhuangdao,China,4.99,1,1.0,0.2,5.0,5.0,1,1,1:Mike Hillyer,1,1,3,53,3,0
2005-07-05,490,SAM MCDUFFIE,1,Sogamoso,Colombia,4.99,1,0.13,0.03,37.52,30.0,1,1,1:Mike Hillyer,1,1,1,6,1,0
2005-07-05,114,GRACE ELLIS,2,Duisburg,Germany,4.99,1,0.67,0.13,7.5,7.5,1,1,1:Mike Hillyer,1,1,1,7,1,0
2005-07-05,296,RAMONA HALE,2,Patiala,India,7.99,1,0.23,0.1,34.39,10.0,1,2,2:Jon Stephens,1,1,1,60,3,0
2005-07-05,421,LEE HAWKS,1,Pudukkottai,India,7.99,1,0.43,0.1,18.48,10.0,1,1,1:Mike Hillyer,1,1,1,60,3,0
2005-07-05,60,MILDRED BAILEY,1,Jaipur,India,2.99,1,0.33,0.07,8.99,15.0,1,2,2:Jon Stephens,1,1,3,60,3,0
2005-07-05,369,FRED WHEAT,2,Jurez,Mexico,6.99,1,0.03,0.03,211.82,30.0,1,1,1:Mike Hillyer,1,1,1,30,2,0
2005-07-05,8,SUSAN WILSON,2,Hamilton,New Zealand,5.99,1,0.47,0.1,12.86,10.0,1,1,1:Mike Hillyer,1,1,1,1,1,0
2005-07-05,349,JOE GILLILAND,2,Imus,Philippines,3.99,1,0.67,0.13,6.0,7.5,1,2,2:Jon Stephens,1,1,1,20,1,0
2005-07-05,397,JIMMY SCHRADER,1,Atinsk,Russian Federation,5.99,1,0.27,0.07,22.52,15.0,1,1,1:Mike Hillyer,1,1,1,28,2,0
2005-07-05,536,FERNANDO CHURCHILL,2,Tonghae,South Korea,4.99,1,0.37,0.1,13.65,10.0,1,1,1:Mike Hillyer,1,1,1,5,1,0
2005-07-05,586,KIRK STCLAIR,1,Tsaotun,Taiwan,6.99,1,0.13,0.07,52.69,15.0,1,2,2:Jon Stephens,1,1,1,10,1,0
2005-07-05,142,APRIL BURNS,1,Dundee,United Kingdom,2.99,1,0.17,0.07,18.01,15.0,1,2,2:Jon Stephens,1,1,1,9,1,0
2005-07-05,382,VICTOR BARKLEY,2,Manchester,United States,3.99,1,0.53,0.17,7.5,6.0,1,2,2:Jon Stephens,1,1,1,36,2,0
2005-07-05,111,CARMEN OWENS,1,Caracas,Venezuela,1.99,1,0.76,0.2,2.6,5.0,1,2,2:Jon Stephens,1,1,1,7,1,0
2005-07-05,520,MITCHELL WESTMORELAND,2,Nha Trang,Vietnam,4.99,1,0.43,0.1,11.54,10.0,1,2,2:Jon Stephens,1,1,1,6,1,0
2005-07-05,553,MAX PITT,1,Novi Sad,Yugoslavia,6.99,1,0.67,0.1,10.5,10.0,1,1,1:Mike Hillyer,1,1,1,2,1,0
2005-07-06,176,JUNE CARROLL,1,Skikda,Algeria,11.98,2,1.43,0.27,8.37,7.5,2,"1,2","1:Mike Hillyer,2:Jon Stephens",2,2,1,3,1,1
2005-07-06,320,ANTHONY SCHWAB,2,Tafuna,American Samoa,5.98,2,0.8,0.17,7.49,12.0,2,2,2:Jon Stephens,1,1,1,1,1,0
2005-07-06,528,CLAUDE HERZOG,1,Benguela,Angola,5.98,2,0.27,0.07,22.48,30.0,2,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,1,2,1,1
2005-07-06,381,BOBBY BOUDREAU,2,South Hill,Anguilla,3.9800000000000004,2,0.57,0.17,7.04,12.0,2,2,2:Jon Stephens,1,1,1,1,1,0
2005-07-06,331,ERIC ROBERT,1,Santa F,Argentina,18.97,3,0.43,0.1,43.88,30.0,3,"1,2","1:Mike Hillyer,2:Jon Stephens",2,2,1,13,1,1
2005-07-06,41,STEPHANIE MITCHELL,1,Yerevan,Armenia,2.99,1,0.43,0.07,6.91,15.0,1,2,2:Jon Stephens,1,1,1,1,1,0
2005-07-06,159,JILL HAWKINS,1,Linz,Austria,5.99,1,0.07,0.07,90.76,15.0,1,2,2:Jon Stephens,1,1,1,3,1,0
2005-07-06,334,RAYMOND MCWHORTER,2,Sumqayit,Azerbaijan,4.99,1,0.37,0.1,13.65,10.0,1,1,1:Mike Hillyer,1,1,1,2,1,0
2005-07-06,329,FRANK WAGGONER,2,Jamalpur,Bangladesh,2.99,1,0.96,0.3,3.1,3.33,1,2,2:Jon Stephens,1,1,1,3,1,0
2005-07-06,126,ELLEN SIMPSON,1,Po,Brazil,18.97,3,0.1,0.03,190.33,90.0,3,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,1,28,2,1
2005-07-06,92,TINA SIMMONS,2,Goinia,Brazil,16.98,2,0.5,0.1,34.03,20.0,2,2,2:Jon Stephens,1,1,2,28,2,0
2005-07-06,91,LOIS BUTLER,2,Bandar Seri Begawan,Brunei,0.99,1,0.43,0.13,2.29,7.5,1,2,2:Jon Stephens,1,1,1,1,1,0
2005-07-06,228,ALLISON STANLEY,2,Phnom Penh,Cambodia,17.959999999999997,4,0.47,0.13,38.6,30.0,4,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,1,2,1,1
2005-07-06,189,LORETTA CARPENTER,1,Oshawa,Canada,5.98,2,0.47,0.17,12.86,12.0,2,"1,2","1:Mike Hillyer,2:Jon Stephens",2,2,1,5,1,1
2005-07-06,464,JEROME KENYON,1,Rancagua,Chile,4.99,1,0.27,0.07,18.76,15.0,1,1,1:Mike Hillyer,1,1,1,3,1,0
2005-07-06,283,FELICIA SUTTON,1,Korla,China,17.959999999999997,4,0.6,0.17,30.02,24.0,4,"1,2","1:Mike Hillyer,2:Jon Stephens",2,2,1,53,3,1
2005-07-06,165,LORRAINE STEPHENS,2,Hami,China,10.98,2,0.23,0.07,47.19,30.0,2,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,2,53,3,1
2005-07-06,595,TERRENCE GUNDERSON,1,Jinzhou,China,9.99,1,0.27,0.07,37.56,15.0,1,1,1:Mike Hillyer,1,1,3,53,3,0
2005-07-06,235,JACKIE LYNCH,1,Buenaventura,Colombia,14.97,3,0.2,0.07,75.1,45.0,3,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,1,6,1,1
2005-07-06,375,AARON SELBY,2,Mwene-Ditu,"Congo, The Democratic Republic of the",6.99,1,0.47,0.1,15.01,10.0,1,1,1:Mike Hillyer,1,1,1,2,1,0
2005-07-06,265,JENNIE TERRY,2,Olomouc,Czech Republic,2.99,1,0.53,0.1,5.62,10.0,1,1,1:Mike Hillyer,1,1,1,1,1,0
2005-07-06,437,RANDALL NEUMANN,2,La Romana,Dominican Republic,4.99,1,0.4,0.1,12.51,10.0,1,1,1:Mike Hillyer,1,1,1,3,1,0
2005-07-06,262,PATSY DAVIDSON,2,Portoviejo,Ecuador,5.98,2,0.7,0.13,8.56,15.0,2,1,1:Mike Hillyer,1,1,1,3,1,0
2005-07-06,559,EVERETT BANDA,2,Bilbays,Egypt,5.99,1,0.43,0.13,13.87,7.5,1,1,1:Mike Hillyer,1,1,1,6,1,0
2005-07-06,444,MARCUS HIDALGO,2,Tartu,Estonia,5.98,2,0.86,0.2,6.92,10.0,2,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,1,1,1,1
2005-07-06,392,SEAN DOUGLASS,2,Addis Abeba,Ethiopia,2.99,1,0.6,0.13,4.99,7.5,1,1,1:Mike Hillyer,1,1,1,1,1,0
2005-07-06,298,ERIKA PENA,1,Oulu,Finland,2.99,1,0.67,0.17,4.5,6.0,1,1,1:Mike Hillyer,1,1,1,1,1,0
2005-07-06,402,LUIS YANEZ,1,Brest,France,16.97,3,0.43,0.1,39.25,30.0,3,2,2:Jon Stephens,1,1,1,4,1,0
2005-07-06,65,ROSE HOWARD,2,Cayenne,French Guiana,4.99,1,0.43,0.07,11.53,15.0,1,1,1:Mike Hillyer,1,1,1,1,1,0
2005-07-06,56,GLORIA COOK,1,Papeete,French Polynesia,10.98,2,0.47,0.13,23.6,15.0,2,"1,2","1:Mike Hillyer,2:Jon Stephens",2,2,1,2,1,1
2005-07-06,584,SALVADOR TEEL,2,Banjul,Gambia,10.98,2,0.37,0.07,30.0,30.0,2,2,2:Jon Stephens,1,1,1,1,1,0
2005-07-06,448,MIGUEL BETANCOURT,1,Erlangen,Germany,12.98,2,0.83,0.17,15.61,12.0,2,2,2:Jon Stephens,1,1,1,7,1,0
2005-07-06,207,GERTRUDE CASTILLO,1,Nuuk,Greenland,12.98,2,0.13,0.03,97.59,60.0,2,2,2:Jon Stephens,1,1,1,1,1,0
2005-07-06,289,VIOLET RODRIQUEZ,1,Kowloon and New Kowloon,Hong Kong,2.99,1,1.26,0.2,2.36,5.0,1,1,1:Mike Hillyer,1,1,1,1,1,0
2005-07-06,592,TERRANCE ROUSH,1,Szkesfehrvr,Hungary,14.98,2,0.83,0.17,18.01,12.0,2,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,1,1,1,1
2005-07-06,421,LEE HAWKS,1,Pudukkottai,India,14.98,2,0.7,0.13,21.44,15.0,2,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,1,60,3,1
2005-07-06,231,GEORGIA JACOBS,1,Uttarpara-Kotrung,India,12.98,2,0.03,0.03,393.33,60.0,2,"2,1","2:Jon Stephens,1:Mike Hillyer",2,2,2,60,3,1
