first_name,last_name,max_daily_payment,payment_count,payment_date,suspicious_activity,total_amount
ADAM,GOOCH,4.99,3,2005-07-10,1,12.97
ALBERT,CROUSE,7.99,4,2005-07-27,1,22.96
ALEXANDER,FENNELL,2.99,3,2005-07-29,1,8.97
ALFRED,CASILLAS,9.99,5,2005-07-27,1,24.950000000000003
ALICE,STEWART,7.99,3,2005-07-09,1,16.97
ALLEN,BUTTERFIELD,8.99,3,2005-07-29,1,18.97
ALLISON,STANLEY,8.99,4,2005-07-06,1,17.959999999999997
ALMA,AUSTIN,1.99,3,2005-07-29,1,3.9699999999999998
ALMA,AUSTIN,10.99,3,2005-07-31,1,22.97
ALMA,AUSTIN,4.99,3,2005-07-09,1,13.97
ALVIN,DELOACH,4.99,3,2005-07-07,1,10.97
ALVIN,DELOACH,7.99,4,2005-07-28,1,20.96
AMANDA,CARTER,3.99,3,2005-07-28,1,5.970000000000001
AMANDA,CARTER,6.99,3,2005-07-31,1,13.97
AMBER,DIXON,7.99,3,2005-07-09,1,17.97
ANA,BRADLEY,8.99,3,2005-07-30,1,19.97
ANDREW,PURDY,6.99,3,2005-07-27,1,8.97
ANDY,VANHORN,6.99,3,2005-07-29,1,15.97
ANDY,VANHORN,6.99,4,2005-07-27,1,20.96
ANGELA,HERNANDEZ,6.99,3,2005-07-27,1,11.97
ANNA,HILL,4.99,3,2005-07-30,1,11.97
ANNETTE,OLSON,4.99,4,2005-07-29,1,16.96
ANNIE,RUSSELL,4.99,3,2005-07-06,1,8.97
ANTHONY,SCHWAB,4.99,3,2005-07-29,1,10.97
APRIL,BURNS,7.99,3,2005-07-30,1,16.97
ARLENE,HARVEY,2.99,3,2005-07-11,1,8.97
ARLENE,HARVEY,4.99,3,2005-07-31,1,10.97
ARMANDO,GRUBER,3.99,3,2005-07-08,1,7.970000000000001
ARNOLD,HAVENS,6.99,3,2005-07-10,1,12.97
ARNOLD,HAVENS,7.99,5,2005-07-30,1,29.950000000000003
ARTHUR,SIMPKINS,4.99,3,2005-07-31,1,12.97
ARTHUR,SIMPKINS,8.99,4,2005-07-29,1,22.96
ASHLEY,RICHARDSON,4.99,5,2005-07-31,1,13.950000000000001
ASHLEY,RICHARDSON,6.99,3,2005-07-10,1,16.97
AUDREY,RAY,3.99,3,2005-07-10,1,9.97
AUDREY,RAY,8.99,3,2005-07-29,1,16.97
BARRY,LOVELACE,8.99,3,2005-07-27,1,11.97
BEATRICE,ARNOLD,7.99,3,2005-07-10,1,15.97
BEATRICE,ARNOLD,9.99,3,2005-07-31,1,15.97
BERNARD,COLBY,2.99,3,2005-07-10,1,4.970000000000001
BERNICE,WILLIS,6.99,3,2005-07-08,1,17.97
BERNICE,WILLIS,6.99,3,2005-07-30,1,15.97
BERNICE,WILLIS,6.99,4,2005-07-27,1,16.96
BERTHA,FERGUSON,4.99,3,2005-07-10,1,8.97
