customer_id,customer_name,email,city,country,payment_date,day_amount,payment_count,unique_rented_films,dominant_staff_id,dominant_staff_name,store_id,top_category,customer_day_amount_rank
21,MICHELLE CLARK,MICHELLE.CLARK@sakilacustomer.org,Tangail,Bangladesh,2005-08-20,32.96,4,4,1,Mike Hillyer,1,Documentary,1
2,PATRICIA JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,San Bernardino,United States,2005-07-30,30.95,5,5,2,Jon Stephens,2,Travel,1
459,TOMMY COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,Qomsheh,Iran,2005-07-28,29.95,5,5,1,Mike Hillyer,1,Comedy,1
522,ARNOLD HAVENS,ARNOLD.HAVENS@sakilacustomer.org,Santa Rosa,Philippines,2005-07-30,29.95,5,5,1,Mike Hillyer,1,Classics,1
563,KEN PREWITT,KEN.PREWITT@sakilacustomer.org,Bucuresti,Romania,2005-07-08,29.93,7,7,2,Jon Stephens,2,Horror,1
454,ALEX GRESHAM,ALEX.GRESHAM@sakilacustomer.org,Uruapan,Mexico,2005-08-20,27.96,4,4,2,Jon Stephens,2,Sports,1
404,STANLEY SCROGGINS,STANLEY.SCROGGINS@sakilacustomer.org,Omiya,Japan,2005-08-22,27.95,5,5,2,Jon Stephens,2,Foreign,1
390,SHAWN HEATON,SHAWN.HEATON@sakilacustomer.org,Nakhon Sawan,Thailand,2005-08-20,27.94,6,6,2,Jon Stephens,2,Music,1
187,BRITTANY RILEY,BRITTANY.RILEY@sakilacustomer.org,Sumy,Ukraine,2005-08-18,26.97,3,3,2,Jon Stephens,2,Classics,1
50,DIANE COLLINS,DIANE.COLLINS@sakilacustomer.org,Omdurman,Sudan,2005-07-31,26.95,5,5,2,Jon Stephens,2,Documentary,1
207,GERTRUDE CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,Nuuk,Greenland,2005-08-20,25.96,4,4,2,Jon Stephens,2,Games,1
3,LINDA WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,Athenai,Greece,2005-07-28,24.96,4,4,2,Jon Stephens,2,Animation,1
190,YOLANDA WEAVER,YOLANDA.WEAVER@sakilacustomer.org,Tabora,Tanzania,2005-08-02,24.96,4,4,2,Jon Stephens,2,Animation,1
192,LAURIE LAWRENCE,LAURIE.LAWRENCE@sakilacustomer.org,Firozabad,India,2005-08-21,24.96,4,4,2,Jon Stephens,2,Horror,1
573,BYRON BOX,BYRON.BOX@sakilacustomer.org,Zhezqazghan,Kazakstan,2005-07-31,24.96,4,4,2,Jon Stephens,2,Horror,1
506,LESLIE SEWARD,LESLIE.SEWARD@sakilacustomer.org,Pontianak,Indonesia,2005-07-08,23.97,3,3,2,Jon Stephens,2,Children,1
92,TINA SIMMONS,TINA.SIMMONS@sakilacustomer.org,Goinia,Brazil,2005-07-10,23.96,4,4,2,Jon Stephens,2,Horror,1
519,RON DELUCA,RON.DELUCA@sakilacustomer.org,Isesaki,Japan,2005-07-31,23.95,5,5,2,Jon Stephens,2,Children,1
393,PHILIP CAUSEY,PHILIP.CAUSEY@sakilacustomer.org,Korolev,Russian Federation,2005-07-08,22.97,3,3,2,Jon Stephens,2,Foreign,1
407,DALE RATCLIFF,DALE.RATCLIFF@sakilacustomer.org,Rustenburg,South Africa,2005-07-28,22.96,4,4,1,Mike Hillyer,1,Drama,1
553,MAX PITT,MAX.PITT@sakilacustomer.org,Novi Sad,Yugoslavia,2005-07-06,22.95,5,5,2,Jon Stephens,2,Drama,1
198,ELSIE KELLEY,ELSIE.KELLEY@sakilacustomer.org,Ikerre,Nigeria,2005-08-17,22.94,6,6,1,Mike Hillyer,1,Family,1
331,ERIC ROBERT,ERIC.ROBERT@sakilacustomer.org,Santa F,Argentina,2005-07-07,21.97,3,3,1,Mike Hillyer,1,Music,1
