risk_rank,customer_id,customer_name,customer_country,customer_city,customer_home_store_id,payment_day,payment_count,payment_amount,history_days,history_payment_count,avg_payment_amount_30d,stddev_payment_amount_30d,amount_z_score,avg_payment_count_30d,stddev_payment_count_30d,count_z_score,off_home_staff_payment_count,off_home_staff_payment_share,most_frequent_staff_id,most_frequent_staff_name,most_frequent_staff_payment_count,main_category_id,main_category_name,main_category_payment_count,risk_score
1,39,DEBRA NELSON,Brazil,Vila Velha,1,2005-07-08,3,23.97,6,7,5.49,0.5459,33.8548,1.17,0.4472,4.0995,3,1.0,2,Jon Stephens,3,8,Family,1,1497.18
2,459,TOMMY COLLAZO,Iran,Qomsheh,1,2005-07-28,5,29.95,6,6,2.66,1.3663,19.9767,1.0,0.0,10.0,1,0.2,1,Mike Hillyer,4,5,Comedy,3,1113.07
3,589,TRACY HERRMANN,Ecuador,Loja,1,2005-06-19,2,17.98,4,5,5.24,0.495,25.7424,1.25,0.5774,1.299,1,0.5,1,Mike Hillyer,1,7,Drama,1,1078.67
4,404,STANLEY SCROGGINS,Japan,Omiya,2,2005-07-08,4,21.96,5,5,3.79,1.0954,16.5869,1.0,0.0,10.0,3,0.75,1,Mike Hillyer,3,13,New,1,978.47
5,50,DIANE COLLINS,Sudan,Omdurman,1,2005-07-10,3,21.97,5,6,3.99,1.0,17.9818,1.2,0.5,3.6,2,0.6667,2,Jon Stephens,2,9,Foreign,1,840.61
6,455,JON WILES,Bolivia,El Alto,2,2005-07-08,2,11.98,5,5,2.19,0.8367,11.7013,1.0,0.0,10.0,2,1.0,1,Mike Hillyer,2,10,Games,1,788.05
7,510,BEN EASTER,Russian Federation,Kamyin,2,2005-07-28,2,18.98,5,5,3.59,1.3416,11.471,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,14,Sci-Fi,1,768.84
8,294,SHELLY WATTS,United States,Dayton,2,2005-08-01,5,20.95,9,10,5.32,1.5011,10.4108,1.11,0.3536,10.9994,1,0.2,2,Jon Stephens,4,2,Animation,1,760.41
9,538,TED BREAUX,China,Baicheng,2,2005-07-09,3,16.97,5,5,4.79,1.0954,11.1188,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,1,Action,1,758.08
10,134,EMMA BOYD,Egypt,Qalyub,1,2005-08-02,4,20.96,6,6,3.16,1.6021,11.1126,1.0,0.0,10.0,1,0.25,1,Mike Hillyer,3,2,Animation,2,749.5
11,43,CHRISTINE ROBERTS,French Polynesia,Faaa,2,2005-08-21,2,7.98,5,5,4.99,0.0,10.0,1.0,0.0,10.0,2,1.0,1,Mike Hillyer,2,6,Documentary,1,720.0
12,311,PAUL TROUT,Russian Federation,Kursk,2,2005-07-31,3,20.97,5,5,4.99,1.5811,10.1066,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,11,Horror,1,717.6
13,245,COURTNEY DAY,South Korea,Uijongbu,1,2005-07-27,5,17.95,5,5,3.99,1.4142,9.8712,1.0,0.0,10.0,3,0.6,2,Jon Stephens,3,3,Children,1,716.85
14,118,KIM CRUZ,United States,Grand Prairie,1,2005-07-28,2,9.98,5,5,1.79,0.8367,9.7889,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,6,Documentary,1,701.56
15,382,VICTOR BARKLEY,United States,Manchester,2,2005-07-30,3,21.97,6,6,2.82,2.0412,9.3799,1.0,0.0,10.0,3,1.0,1,Mike Hillyer,3,6,Documentary,2,695.2
16,5,ELIZABETH BROWN,Taiwan,Nantou,1,2005-07-09,3,12.97,7,7,3.99,1.0,8.98,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,8,Family,1,672.53
17,113,CINDY FISHER,Venezuela,Cuman,2,2005-06-20,3,16.97,5,5,2.59,1.6733,8.5937,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,6,Documentary,2,657.08
18,461,DEREK BLAKELY,Philippines,Gingoog,1,2005-08-22,5,22.95,9,14,4.21,1.4789,12.6735,1.56,0.7906,4.3569,2,0.4,1,Mike Hillyer,3,10,Games,2,655.65
19,505,RAFAEL ABNEY,Philippines,Talavera,1,2005-07-11,2,14.98,6,6,6.32,1.0328,8.3818,1.0,0.0,10.0,2,1.0,2,Jon Stephens,2,14,Sci-Fi,1,655.27
20,484,ROBERTO VU,China,Yinchuan,1,2005-06-17,2,10.98,5,5,3.79,0.8367,8.5937,1.0,0.0,10.0,0,0.0,1,Mike Hillyer,2,11,Horror,1,643.75
21,363,ROY WHITING,Kenya,Nyeri,2,2005-07-10,2,10.98,6,6,4.49,0.8367,7.757,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,9,Foreign,1,620.28
22,188,MELANIE ARMSTRONG,Philippines,Bayugan,1,2005-08-01,4,16.96,7,8,4.56,1.2706,9.7595,1.14,0.4082,6.9985,3,0.75,2,Jon Stephens,3,11,Horror,1,615.34
23,515,ANDRE RAPP,Chile,Coquimbo,1,2005-08-17,3,15.97,5,5,3.79,1.6432,7.4125,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,7,Drama,1,609.83
24,374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2,2005-07-10,3,13.97,6,6,3.16,1.472,7.3462,1.0,0.0,10.0,1,0.3333,2,Jon Stephens,2,8,Family,2,600.51
25,240,MARLENE WELCH,Japan,Iwaki,1,2005-07-27,3,18.97,6,6,2.99,2.1909,7.2938,1.0,0.0,10.0,1,0.3333,1,Mike Hillyer,2,13,New,2,598.42
26,103,GLADYS HAMILTON,Nigeria,Ilorin,1,2005-08-23,5,25.95,8,11,5.99,2.1381,9.3372,1.38,0.5345,6.7818,2,0.4,1,Mike Hillyer,3,11,Horror,2,594.94
27,233,LILLIE KIM,Egypt,Idfu,2,2005-07-27,2,13.98,7,7,4.42,1.3973,6.8429,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,8,Family,1,583.72
28,44,MARIE TURNER,Russian Federation,Lipetsk,1,2005-07-10,4,24.96,6,6,4.49,3.0166,6.7857,1.0,0.0,10.0,2,0.5,1,Mike Hillyer,2,2,Animation,1,581.43
29,261,DEANNA BYRD,Philippines,Tuguegarao,1,2005-06-17,3,18.97,5,5,3.99,2.2361,6.6993,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,6,Documentary,1,581.3
30,458,LLOYD DOWD,Indonesia,Tegal,1,2005-07-12,3,15.97,6,6,2.99,1.8974,6.8411,1.0,0.0,10.0,1,0.3333,1,Mike Hillyer,2,12,Music,1,580.31
31,71,KATHY JAMES,Philippines,Baybay,1,2005-07-10,3,18.97,5,6,4.99,1.2227,11.4353,1.2,0.5,3.6,1,0.3333,1,Mike Hillyer,2,1,Action,1,572.08
32,346,ARTHUR SIMPKINS,Russian Federation,Maikop,1,2005-07-29,4,22.96,7,8,6.85,1.8634,8.6476,1.14,0.4082,6.9985,3,0.75,2,Jon Stephens,3,1,Action,1,570.86
33,242,GLENDA FRAZIER,China,Qinhuangdao,1,2005-08-01,3,15.97,9,9,4.32,1.8708,6.2254,1.0,0.0,10.0,3,1.0,2,Jon Stephens,3,1,Action,1,569.02
34,266,NORA HERRERA,Austria,Salzburg,2,2005-08-02,3,16.97,6,6,4.32,1.9664,6.4314,1.0,0.0,10.0,1,0.3333,2,Jon Stephens,2,1,Action,1,563.92
35,192,LAURIE LAWRENCE,India,Firozabad,1,2005-08-21,4,24.96,9,10,5.32,2.6909,7.2979,1.11,0.3536,8.171,3,0.75,2,Jon Stephens,3,11,Horror,2,552.05
36,520,MITCHELL WESTMORELAND,Vietnam,Nha Trang,2,2005-07-10,3,19.97,6,6,4.82,2.5626,5.9108,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,8,Family,1,549.77
37,81,ANDREA HENDERSON,Madagascar,Mahajanga,1,2005-08-21,3,16.97,7,7,3.99,2.1602,6.0086,1.0,0.0,10.0,1,0.3333,1,Mike Hillyer,2,14,Sci-Fi,1,547.01
38,104,RITA GRAHAM,France,Toulon,1,2005-08-19,4,11.96,6,6,3.66,1.3663,6.0774,1.0,0.0,10.0,0,0.0,1,Mike Hillyer,4,9,Foreign,2,543.1
39,277,OLGA JIMENEZ,Nigeria,Ogbomosho,2,2005-06-21,3,13.97,5,5,4.39,1.6733,5.7251,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,5,Comedy,1,542.34
40,267,MARGIE WADE,China,Lengshuijiang,1,2005-07-30,3,15.97,6,6,3.66,2.1602,5.7,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,8,Family,1,541.33
41,91,LOIS BUTLER,Brunei,Bandar Seri Begawan,2,2005-07-07,3,12.97,5,5,2.79,1.7889,5.6908,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,7,Drama,1,540.97
42,38,MARTHA GONZALEZ,Moldova,Chisinau,1,2005-07-07,3,12.97,4,5,3.99,0.8165,11.0011,1.25,0.5774,3.0311,1,0.3333,1,Mike Hillyer,2,3,Children,1,537.64
43,534,CHRISTIAN JUNG,India,Amroha,1,2005-07-30,2,10.98,5,5,2.99,1.4142,5.6498,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,13,New,1,535.99
44,348,ROGER QUINTANILLA,Taiwan,Hsichuh,2,2005-07-08,4,20.96,5,5,4.59,2.9665,5.5183,1.0,0.0,10.0,2,0.5,2,Jon Stephens,2,2,Animation,1,530.73
45,374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2,2005-08-22,4,20.96,10,10,4.09,2.9981,5.6268,1.0,0.0,10.0,1,0.25,2,Jon Stephens,3,14,Sci-Fi,1,530.07
46,578,WILLARD LUMPKIN,Mexico,Carmen,2,2005-07-31,2,11.98,6,9,5.65,0.5125,12.347,1.5,0.6325,0.7906,1,0.5,1,Mike Hillyer,1,9,Foreign,1,527.6
47,73,BEVERLY BROOKS,Taiwan,Chiayi,2,2005-07-12,2,12.98,5,5,3.79,1.7889,5.1374,1.0,0.0,10.0,2,1.0,1,Mike Hillyer,2,8,Family,1,525.49
48,597,FREDDIE DUGGAN,Peru,Sullana,1,2005-08-02,4,16.96,7,8,3.99,1.7301,7.4974,1.14,0.4082,6.9985,3,0.75,2,Jon Stephens,3,16,Travel,2,524.85
49,291,TONI HOLT,United States,Roanoke,1,2005-07-12,2,7.98,6,6,3.49,0.8367,5.3666,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,4,Classics,1,524.66
50,527,CORY MEEHAN,Belarus,Mogiljov,1,2005-07-11,3,11.97,5,6,1.99,1.0,9.9819,1.2,0.5,3.6,2,0.6667,2,Jon Stephens,2,15,Sports,1,520.61
