first_name,last_name,payment_count,total_amount,average_payment,risk_flag
MARY,SMITH,12,50.88000000000002,4.240000000000001,высокий
PATRICIA,JOHNSON,14,75.86,5.418571428571428,высокий
LINDA,WILLIAMS,13,68.87000000000002,5.2976923076923095,высокий
BARBARA,JONES,5,21.950000000000003,4.390000000000001,обычный
ELIZABETH,BROWN,16,59.84000000000002,3.740000000000001,высокий
JENNIFER,DAVIS,9,26.91,2.99,обычный
MARIA,MILLER,11,59.890000000000015,5.444545454545456,высокий
SUSAN,WILSON,12,35.88000000000001,2.9900000000000007,обычный
MARGARET,MOORE,9,28.910000000000004,3.2122222222222225,обычный
DOROTHY,TAYLOR,11,45.89000000000001,4.171818181818183,обычный
LISA,ANDERSON,11,53.890000000000015,4.89909090909091,высокий
NANCY,THOMAS,13,39.870000000000005,3.0669230769230773,обычный
KAREN,JACKSON,13,61.87000000000002,4.75923076923077,высокий
BETTY,WHITE,12,50.88000000000002,4.240000000000001,высокий
HELEN,HARRIS,9,40.910000000000004,4.545555555555556,обычный
SANDRA,MARTIN,10,34.9,3.4899999999999998,обычный
DONNA,THOMPSON,9,43.91000000000001,4.87888888888889,обычный
CAROL,GARCIA,9,33.910000000000004,3.7677777777777783,обычный
RUTH,MARTINEZ,6,34.940000000000005,5.823333333333334,обычный
SHARON,ROBINSON,10,42.90000000000001,4.290000000000001,обычный
MICHELLE,CLARK,9,31.909999999999997,3.545555555555555,обычный
LAURA,RODRIGUEZ,7,31.93,4.561428571428571,обычный
SARAH,LEWIS,13,60.87000000000001,4.682307692307694,высокий
KIMBERLY,LEE,9,26.909999999999997,2.9899999999999998,обычный
DEBORAH,WALKER,12,39.88,3.3233333333333337,обычный
JESSICA,HALL,13,46.87000000000002,3.605384615384617,обычный
SHIRLEY,ALLEN,12,46.88,3.9066666666666667,обычный
CYNTHIA,YOUNG,14,51.860000000000014,3.704285714285715,высокий
ANGELA,HERNANDEZ,11,46.89000000000001,4.262727272727274,обычный
MELISSA,KING,19,73.80999999999999,3.8847368421052626,высокий
BRENDA,WRIGHT,11,48.890000000000015,4.444545454545456,обычный
AMY,LOPEZ,15,58.850000000000016,3.9233333333333342,высокий
ANNA,HILL,8,29.920000000000005,3.7400000000000007,обычный
REBECCA,SCOTT,9,33.910000000000004,3.7677777777777783,обычный
VIRGINIA,GREEN,16,68.84000000000002,4.302500000000001,высокий
KATHLEEN,ADAMS,13,40.870000000000005,3.1438461538461544,обычный
PAMELA,BAKER,6,36.94,6.156666666666666,обычный
MARTHA,GONZALEZ,18,65.82000000000002,3.656666666666668,высокий
DEBRA,NELSON,15,73.85000000000001,4.923333333333334,высокий
AMANDA,CARTER,11,40.89000000000001,3.717272727272728,обычный
STEPHANIE,MITCHELL,15,70.85000000000002,4.7233333333333345,высокий
CAROLYN,PEREZ,16,61.84000000000001,3.8650000000000007,высокий
CHRISTINE,ROBERTS,12,47.88000000000001,3.9900000000000007,обычный
MARIE,TURNER,10,53.90000000000001,5.3900000000000015,высокий
JANET,PHILLIPS,9,37.910000000000004,4.2122222222222225,обычный
CATHERINE,CAMPBELL,8,32.92000000000001,4.115000000000001,обычный
FRANCES,PARKER,10,47.900000000000006,4.790000000000001,обычный
ANN,EVANS,8,44.92000000000001,5.615000000000001,обычный
JOYCE,EDWARDS,13,69.87,5.374615384615385,высокий
DIANE,COLLINS,17,80.83,4.754705882352941,высокий
ALICE,STEWART,12,58.88000000000002,4.906666666666668,высокий
JULIE,SANCHEZ,12,48.88000000000001,4.073333333333334,обычный
HEATHER,MORRIS,7,31.930000000000007,4.561428571428572,обычный
TERESA,ROGERS,8,29.92,3.74,обычный
DORIS,REED,7,36.93000000000001,5.275714285714287,обычный
GLORIA,COOK,9,37.91000000000001,4.212222222222223,обычный
EVELYN,MORGAN,15,49.850000000000016,3.3233333333333346,обычный
JEAN,BELL,9,38.910000000000004,4.323333333333334,обычный
CHERYL,MURPHY,11,60.890000000000015,5.535454545454547,высокий
MILDRED,BAILEY,8,27.92,3.49,обычный
KATHERINE,RIVERA,6,32.940000000000005,5.490000000000001,обычный
JOAN,COOPER,5,16.95,3.3899999999999997,обычный
ASHLEY,RICHARDSON,14,64.86000000000001,4.6328571428571435,высокий
JUDITH,COX,19,59.81000000000002,3.147894736842106,высокий
ROSE,HOWARD,9,37.91,4.212222222222222,обычный
JANICE,WARD,13,60.87000000000001,4.682307692307694,высокий
KELLY,TORRES,8,30.92,3.865,обычный
NICOLE,PETERSON,10,43.90000000000001,4.3900000000000015,обычный
JUDY,GRAY,11,47.890000000000015,4.353636363636365,обычный
CHRISTINA,RAMIREZ,7,26.93,3.847142857142857,обычный
KATHY,JAMES,18,70.82000000000001,3.934444444444445,высокий
THERESA,WATSON,10,36.900000000000006,3.6900000000000004,обычный
BEVERLY,BROOKS,10,46.90000000000001,4.690000000000001,обычный
DENISE,KELLY,10,47.90000000000001,4.790000000000001,обычный
TAMMY,SANDERS,20,70.80000000000001,3.5400000000000005,высокий
IRENE,PRICE,9,25.91,2.878888888888889,обычный
JANE,BENNETT,7,15.930000000000001,2.275714285714286,обычный
LORI,WOOD,14,52.86,3.775714285714286,высокий
RACHEL,BARNES,13,53.87000000000002,4.143846153846155,высокий
MARILYN,ROSS,12,61.88000000000002,5.156666666666668,высокий
ANDREA,HENDERSON,6,23.939999999999998,3.9899999999999998,обычный
KATHRYN,COLEMAN,11,64.89000000000001,5.89909090909091,высокий
LOUISE,JENKINS,9,31.91,3.5455555555555556,обычный
SARA,PERRY,12,64.88000000000001,5.406666666666667,высокий
ANNE,POWELL,8,26.92,3.365,обычный
JACQUELINE,LONG,12,64.88000000000001,5.406666666666667,высокий
WANDA,PATTERSON,11,56.890000000000015,5.171818181818183,высокий
BONNIE,HUGHES,11,44.89000000000001,4.080909090909092,обычный
JULIA,FLORES,17,68.83000000000003,4.0488235294117665,высокий
RUBY,WASHINGTON,12,51.88000000000001,4.323333333333334,высокий
LOIS,BUTLER,19,59.810000000000024,3.1478947368421064,высокий
TINA,SIMMONS,15,78.85000000000001,5.256666666666667,высокий
PHYLLIS,FOSTER,6,21.94,3.6566666666666667,обычный
NORMA,GONZALES,7,28.93,4.132857142857143,обычный
PAULA,BRYANT,9,43.91000000000001,4.87888888888889,обычный
DIANA,ALEXANDER,12,49.88000000000002,4.156666666666668,обычный
ANNIE,RUSSELL,12,40.88000000000001,3.4066666666666676,обычный
LILLIAN,GRIFFIN,9,40.910000000000004,4.545555555555556,обычный
EMILY,DIAZ,15,56.85000000000002,3.7900000000000014,высокий
ROBIN,HAYES,13,69.87,5.374615384615385,высокий
PEGGY,MYERS,12,53.88000000000002,4.490000000000001,высокий
CRYSTAL,FORD,21,84.78999999999999,4.037619047619048,высокий
GLADYS,HAMILTON,15,68.85000000000001,4.590000000000001,высокий
RITA,GRAHAM,10,44.900000000000006,4.49,обычный
DAWN,SULLIVAN,10,48.90000000000001,4.8900000000000015,обычный
