customer_id,customer_name,payment_month,country,city,total_payment_amount,operation_count,late_return_share,country_month_rank
176,JUNE CARROLL,2005-05,Algeria,Skikda,21.95,5,0.8,1
176,JUNE CARROLL,2005-06,Algeria,Skikda,42.92,8,0.75,1
383,MARTIN BALES,2005-06,Angola,Namibe,27.94,6,0.5,1
359,WILLIE MARKHAM,2005-05,Argentina,Almirante Brown,15.97,3,0.6667,1
322,JASON MORRISSEY,2005-06,Argentina,Baha Blanca,40.93,7,0.5714,1
89,JULIA FLORES,2005-06,Argentina,La Plata,30.95,5,0.6,2
445,MICHEAL FORMAN,2005-08,Argentina,Escobar,66.86,14,0.6429,1
560,JORDAN ARCHULETA,2005-08,Argentina,Avellaneda,56.89,11,0.6364,2
266,NORA HERRERA,2005-06,Austria,Salzburg,20.96,4,0.5,1
266,NORA HERRERA,2005-08,Austria,Salzburg,71.83,17,0.5294,1
21,MICHELLE CLARK,2005-08,Bangladesh,Tangail,79.83,17,0.5882,1
144,CLARA SHAW,2005-07,Belarus,Molodetno,93.82,18,0.7222,1
431,JOEL FRANCISCO,2005-06,Bolivia,Sucre,35.93,7,0.5714,1
246,MARIAN MENDOZA,2005-05,Brazil,Maring,30.95,5,0.8,1
551,CLAYTON BARBEE,2005-05,Brazil,Alvorada,20.95,5,0.4,2
307,JOSEPH JOY,2005-05,Brazil,Angra dos Reis,18.96,4,0.75,3
47,FRANCES PARKER,2005-05,Brazil,Juazeiro do Norte,15.97,3,0.6667,4
126,ELLEN SIMPSON,2005-05,Brazil,Po,14.97,3,0.3333,5
77,JANE BENNETT,2005-05,Brazil,Araatuba,14.95,5,0.6,6
178,MARION SNYDER,2005-06,Brazil,Santa Brbara dOeste,44.92,8,0.875,1
310,DANIEL CABRAL,2005-06,Brazil,Ibirit,27.94,6,0.6667,2
39,DEBRA NELSON,2005-06,Brazil,Vila Velha,26.94,6,0.5,3
178,MARION SNYDER,2005-07,Brazil,Santa Brbara dOeste,85.82,18,0.5,1
92,TINA SIMMONS,2005-07,Brazil,Goinia,78.85,15,0.5333,2
591,KENT ARSENAULT,2005-07,Brazil,Juiz de Fora,75.85,15,0.7333,3
342,HAROLD MARTINO,2005-08,Brazil,Boa Vista,69.83,17,0.4706,1
362,NICHOLAS BARFIELD,2005-08,Brazil,Belm,63.89,11,0.7273,2
410,CURTIS IRBY,2005-06,Canada,Richmond Hill,22.94,6,0.6667,1
410,CURTIS IRBY,2005-08,Canada,Richmond Hill,86.83,17,0.6471,1
515,ANDRE RAPP,2005-06,Chile,Coquimbo,25.94,6,0.3333,1
594,EDUARDO HIATT,2005-05,China,Jining,21.96,4,0.5,1
569,DAVE GARDINER,2005-05,China,Leshan,20.95,5,0.6,2
197,SUE PETERS,2005-05,China,Changzhou,20.92,8,0.5,3
154,MICHELE GRANT,2005-05,China,Yuncheng,19.97,3,1.0,4
249,DORA MEDINA,2005-05,China,Tianjin,18.96,4,0.5,5
267,MARGIE WADE,2005-05,China,Lengshuijiang,16.97,3,0.3333,6
93,PHYLLIS FOSTER,2005-05,China,Zalantun,14.97,3,0.6667,8
442,LEROY BUSTAMANTE,2005-05,China,Tongliao,13.97,3,0.6667,9
550,GUY BROWNLEE,2005-06,China,Zhoushan,39.94,6,0.6667,1
267,MARGIE WADE,2005-06,China,Lengshuijiang,38.91,9,0.4444,2
384,ERNEST STEPP,2005-06,China,Huaian,34.93,7,0.7143,3
260,CHRISTY VARGAS,2005-06,China,Datong,34.92,8,0.75,4
197,SUE PETERS,2005-06,China,Changzhou,31.92,8,0.5,5
242,GLENDA FRAZIER,2005-06,China,Qinhuangdao,29.94,6,0.6667,6
466,LEO EBERT,2005-06,China,Dongying,28.95,5,0.6,7
339,WALTER PERRYMAN,2005-06,China,Xinxiang,25.95,5,0.6,8
588,MARION OCAMPO,2005-06,China,Weifang,24.95,5,0.8,9
378,EUGENE CULPEPPER,2005-06,China,Shenzhen,23.96,4,0.5,10
594,EDUARDO HIATT,2005-06,China,Jining,23.94,6,0.5,11
595,TERRENCE GUNDERSON,2005-07,China,Jinzhou,86.81,19,0.4737,1
484,ROBERTO VU,2005-07,China,Yinchuan,77.85,15,0.7333,2
168,REGINA BERRY,2005-07,China,Jinchang,70.83,17,0.7647,3
302,MICHAEL SILVERMAN,2005-07,China,Tiefa,67.85,15,0.4667,4
569,DAVE GARDINER,2005-08,China,Leshan,75.82,18,0.5,1
197,SUE PETERS,2005-08,China,Changzhou,65.84,16,0.4375,2
550,GUY BROWNLEE,2005-08,China,Zhoushan,63.87,13,0.5385,3
211,STACEY MONTGOMERY,2005-08,China,Fuyu,62.86,14,0.5714,4
242,GLENDA FRAZIER,2005-08,China,Qinhuangdao,59.86,14,0.2857,5
120,SYLVIA ORTIZ,2005-06,Colombia,Dos Quebradas,29.94,6,0.3333,1
87,WANDA PATTERSON,2005-06,Colombia,Sincelejo,25.95,5,0.2,2
589,TRACY HERRMANN,2005-06,Ecuador,Loja,30.95,5,0.8,1
491,RICK MATTOX,2005-06,Egypt,Mit Ghamr,31.93,7,0.4286,1
119,SHERRY MARSHALL,2005-08,Egypt,Shubra al-Khayma,77.82,18,0.5556,1
35,VIRGINIA GREEN,2005-08,France,Toulouse,31.92,8,0.5,1
196,ALMA AUSTIN,2005-05,Germany,Mannheim,22.96,4,0.75,1
596,ENRIQUE FORSYTHE,2005-05,Greece,Patras,22.94,6,0.3333,1
3,LINDA WILLIAMS,2005-06,Greece,Athenai,25.96,4,1.0,1
3,LINDA WILLIAMS,2005-07,Greece,Athenai,68.87,13,0.6154,1
274,NAOMI JENNINGS,2005-05,India,Karnal,24.94,6,0.1667,1
468,TIM CARY,2005-05,India,Bijapur,20.95,5,0.6,3
296,RAMONA HALE,2005-05,India,Patiala,18.96,4,0.5,4
259,LENA JENSEN,2005-05,India,Halisahar,15.97,3,0.6667,5
59,CHERYL MURPHY,2005-05,India,Mysore,13.97,3,0.3333,9
209,TONYA CHAPMAN,2005-05,India,Bhilwara,13.97,3,0.6667,9
403,MIKE WAY,2005-06,India,Valparai,35.94,6,0.6667,1
316,STEVEN CURLEY,2005-06,India,Miraj,35.93,7,0.7143,2
31,BRENDA WRIGHT,2005-06,India,Kamarhati,35.89,11,0.5455,3
287,BECKY MILES,2005-06,India,Tambaram,27.96,4,0.75,4
12,NANCY THOMAS,2005-06,India,Yamuna Nagar,26.94,6,0.8333,5
268,NINA SOTO,2005-06,India,Palghat (Palakkad),26.92,8,0.75,6
68,NICOLE PETERSON,2005-06,India,Shivapuri,25.95,5,0.4,7
186,HOLLY FOX,2005-06,India,Haldia,25.94,6,0.5,8
336,JOSHUA MARK,2005-06,India,Rampur,25.92,8,0.0,9
259,LENA JENSEN,2005-06,India,Halisahar,24.96,4,1.0,10
297,SHERRI RHODES,2005-06,India,Ahmadnagar,23.95,5,0.4,11
468,TIM CARY,2005-06,India,Bijapur,23.94,6,0.1667,12
492,LESTER KRAUS,2005-06,India,Kanchrapara,21.96,4,0.75,13
554,DWAYNE OLVERA,2005-06,India,Rajkot,21.96,4,0.5,13
209,TONYA CHAPMAN,2005-07,India,Bhilwara,82.83,17,0.7059,1
