customer_id,first_name,last_name,payment_count,total_amount,average_payment,suspicious
454,ALEX,GRESHAM,10,52.9,5.29,Y
178,MARION,SNYDER,8,44.92,5.62,N
176,JUNE,CARROLL,8,42.92,5.37,N
26,JESSICA,HALL,7,41.93,5.99,N
526,KARL,SEAL,9,41.91,4.66,N
322,JASON,MORRISSEY,7,40.93,5.85,N
550,GUY,BROWNLEE,6,39.94,6.66,N
267,MARGIE,WADE,9,38.91,4.32,N
289,VIOLET,RODRIQUEZ,6,37.94,6.32,N
341,PETER,MENARD,7,37.93,5.42,N
236,MARCIA,DEAN,8,37.92,4.74,N
234,CLAUDIA,FULLER,8,36.92,4.62,N
193,KATIE,ELLIOTT,6,35.94,5.99,N
403,MIKE,WAY,6,35.94,5.99,N
293,MAE,FLETCHER,7,35.93,5.13,N
316,STEVEN,CURLEY,7,35.93,5.13,N
431,JOEL,FRANCISCO,7,35.93,5.13,N
340,PATRICK,NEWSOM,8,35.92,4.49,N
213,GINA,WILLIAMSON,9,35.91,3.99,N
31,BRENDA,WRIGHT,11,35.89,3.26,N
338,DENNIS,GILMAN,7,34.93,4.99,N
384,ERNEST,STEPP,7,34.93,4.99,N
260,CHRISTY,VARGAS,8,34.92,4.37,N
25,DEBORAH,WALKER,6,33.94,5.66,N
576,MORRIS,MCCARTER,7,33.93,4.85,N
510,BEN,EASTER,8,33.92,4.24,N
561,IAN,STILL,9,33.91,3.77,N
571,JOHNNIE,CHISHOLM,6,32.94,5.49,N
46,CATHERINE,CAMPBELL,7,32.93,4.7,N
149,VALERIE,BLACK,7,32.93,4.7,N
171,DOLORES,WAGNER,7,32.93,4.7,N
570,IVAN,CROMWELL,7,32.93,4.7,N
295,DAISY,BATES,9,32.91,3.66,N
21,MICHELLE,CLARK,5,31.95,6.39,N
347,RYAN,SALISBURY,5,31.95,6.39,N
204,ROSEMARY,SCHMIDT,6,31.94,5.32,N
478,LEWIS,LYMAN,6,31.94,5.32,N
1,MARY,SMITH,7,31.93,4.56,N
200,JEANNE,LAWSON,7,31.93,4.56,N
299,JAMES,GANNON,7,31.93,4.56,N
491,RICK,MATTOX,7,31.93,4.56,N
196,ALMA,AUSTIN,8,31.92,3.99,N
197,SUE,PETERS,8,31.92,3.99,N
467,ALVIN,DELOACH,4,30.96,7.74,Y
89,JULIA,FLORES,5,30.95,6.19,N
589,TRACY,HERRMANN,5,30.95,6.19,N
590,SETH,HANNON,5,30.95,6.19,N
327,LARRY,THRASHER,6,30.94,5.16,N
368,HARRY,ARCE,6,30.94,5.16,N
256,MABEL,HOLLAND,7,30.93,4.42,N
343,DOUGLAS,GRAF,7,30.93,4.42,N
27,SHIRLEY,ALLEN,8,30.92,3.87,N
457,BILL,GAVIN,9,30.91,3.43,N
75,TAMMY,SANDERS,5,29.95,5.99,N
120,SYLVIA,ORTIZ,6,29.94,4.99,N
163,CATHY,SPENCER,6,29.94,4.99,N
242,GLENDA,FRAZIER,6,29.94,4.99,N
253,TERRY,CARLSON,6,29.94,4.99,N
583,MARSHALL,THORN,6,29.94,4.99,N
66,JANICE,WARD,7,29.93,4.28,N
466,LEO,EBERT,5,28.95,5.79,N
277,OLGA,JIMENEZ,7,28.93,4.13,N
434,EDDIE,TOMLIN,7,28.93,4.13,N
329,FRANK,WAGGONER,9,28.91,3.21,N
287,BECKY,MILES,4,27.96,6.99,N
155,GAIL,KNIGHT,5,27.95,5.59,N
423,ALFRED,CASILLAS,5,27.95,5.59,N
506,LESLIE,SEWARD,5,27.95,5.59,N
558,JIMMIE,EGGLESTON,5,27.95,5.59,N
113,CINDY,FISHER,6,27.94,4.66,N
310,DANIEL,CABRAL,6,27.94,4.66,N
383,MARTIN,BALES,6,27.94,4.66,N
380,RUSSELL,BRINSON,8,27.92,3.49,N
388,CRAIG,MORRELL,5,26.95,5.39,N
12,NANCY,THOMAS,6,26.94,4.49,N
39,DEBRA,NELSON,6,26.94,4.49,N
405,LEONARD,SCHOFIELD,6,26.94,4.49,N
406,NATHAN,RUNYON,7,26.93,3.85,N
268,NINA,SOTO,8,26.92,3.37,N
3,LINDA,WILLIAMS,4,25.96,6.49,N
18,CAROL,GARCIA,4,25.96,6.49,N
309,CHRISTOPHER,GRECO,4,25.96,6.49,N
477,DAN,PAINE,4,25.96,6.49,N
16,SANDRA,MARTIN,5,25.95,5.19,N
68,NICOLE,PETERSON,5,25.95,5.19,N
87,WANDA,PATTERSON,5,25.95,5.19,N
109,EDNA,WEST,5,25.95,5.19,N
201,VICKI,FIELDS,5,25.95,5.19,N
290,KRISTINA,CHAMBERS,5,25.95,5.19,N
339,WALTER,PERRYMAN,5,25.95,5.19,N
390,SHAWN,HEATON,5,25.95,5.19,N
500,REGINALD,KINDER,5,25.95,5.19,N
556,ARMANDO,GRUBER,5,25.95,5.19,N
98,LILLIAN,GRIFFIN,6,25.94,4.32,N
186,HOLLY,FOX,6,25.94,4.32,N
444,MARCUS,HIDALGO,6,25.94,4.32,N
515,ANDRE,RAPP,6,25.94,4.32,N
122,THELMA,MURRAY,7,25.93,3.7,N
146,JAMIE,RICE,7,25.93,3.7,N
456,RONNIE,RICKETTS,7,25.93,3.7,N
459,TOMMY,COLLAZO,7,25.93,3.7,N
336,JOSHUA,MARK,8,25.92,3.24,N
259,LENA,JENSEN,4,24.96,6.24,N
505,RAFAEL,ABNEY,4,24.96,6.24,N
523,HARVEY,GUAJARDO,4,24.96,6.24,N
24,KIMBERLY,LEE,5,24.95,4.99,N
108,TRACY,COLE,5,24.95,4.99,N
448,MIGUEL,BETANCOURT,5,24.95,4.99,N
588,MARION,OCAMPO,5,24.95,4.99,N
592,TERRANCE,ROUSH,5,24.95,4.99,N
472,GREG,ROBINS,6,24.94,4.16,N
62,JOAN,COOPER,7,24.93,3.56,N
86,JACQUELINE,LONG,7,24.93,3.56,N
107,FLORENCE,WOODS,7,24.93,3.56,N
378,EUGENE,CULPEPPER,4,23.96,5.99,N
537,CLINTON,BUFORD,4,23.96,5.99,N
49,JOYCE,EDWARDS,5,23.95,4.79,N
221,BESSIE,MORRISON,5,23.95,4.79,N
239,MINNIE,ROMERO,5,23.95,4.79,N
297,SHERRI,RHODES,5,23.95,4.79,N
320,ANTHONY,SCHWAB,5,23.95,4.79,N
215,JESSIE,BANKS,6,23.94,3.99,N
261,DEANNA,BYRD,6,23.94,3.99,N
439,ALEXANDER,FENNELL,6,23.94,3.99,N
468,TIM,CARY,6,23.94,3.99,N
479,ZACHARY,HITE,6,23.94,3.99,N
594,EDUARDO,HIATT,6,23.94,3.99,N
187,BRITTANY,RILEY,7,23.93,3.42,N
371,BILLY,POULIN,7,23.93,3.42,N
497,GILBERT,SLEDGE,4,22.96,5.74,N
148,ELEANOR,HUNT,5,22.95,4.59,N
363,ROY,WHITING,5,22.95,4.59,N
517,BRAD,MCCURDY,5,22.95,4.59,N
111,CARMEN,OWENS,6,22.94,3.82,N
144,CLARA,SHAW,6,22.94,3.82,N
307,JOSEPH,JOY,6,22.94,3.82,N
410,CURTIS,IRBY,6,22.94,3.82,N
516,ELMER,NOE,6,22.94,3.82,N
450,JAY,ROBB,7,22.93,3.28,N
451,JIM,REA,7,22.93,3.28,N
452,TOM,MILNER,7,22.93,3.28,N
158,VERONICA,STONE,4,21.96,5.49,N
270,LEAH,CURTIS,4,21.96,5.49,N
492,LESTER,KRAUS,4,21.96,5.49,N
511,CHESTER,BENNER,4,21.96,5.49,N
554,DWAYNE,OLVERA,4,21.96,5.49,N
77,JANE,BENNETT,5,21.95,4.39,N
273,PRISCILLA,LOWE,5,21.95,4.39,N
328,JEFFREY,SPEAR,5,21.95,4.39,N
330,SCOTT,SHELLEY,5,21.95,4.39,N
543,LANCE,PEMBERTON,5,21.95,4.39,N
130,CHARLOTTE,HUNTER,6,21.94,3.66,N
319,RONALD,WEINER,6,21.94,3.66,N
29,ANGELA,HERNANDEZ,7,21.93,3.13,N
96,DIANA,ALEXANDER,7,21.93,3.13,N
17,DONNA,THOMPSON,3,20.97,6.99,N
141,DEBBIE,REYES,3,20.97,6.99,N
414,VINCENT,RALSTON,3,20.97,6.99,N
462,WARREN,SHERROD,3,20.97,6.99,N
83,LOUISE,JENKINS,4,20.96,5.24,N
262,PATSY,DAVIDSON,4,20.96,5.24,N
266,NORA,HERRERA,4,20.96,5.24,N
303,WILLIAM,SATTERFIELD,4,20.96,5.24,N
304,DAVID,ROYAL,4,20.96,5.24,N
573,BYRON,BOX,4,20.96,5.24,N
593,RENE,MCALISTER,4,20.96,5.24,N
599,AUSTIN,CINTRON,4,20.96,5.24,N
57,EVELYN,MORGAN,5,20.95,4.19,N
82,KATHRYN,COLEMAN,5,20.95,4.19,N
352,ALBERT,CROUSE,5,20.95,4.19,N
471,DEAN,SAUER,5,20.95,4.19,N
116,VICTORIA,GIBSON,6,20.94,3.49,N
230,JOY,GEORGE,6,20.94,3.49,N
446,THEODORE,CULP,6,20.94,3.49,N
398,ANTONIO,MEEK,3,19.97,6.66,N
553,MAX,PITT,3,19.97,6.66,N
13,KAREN,JACKSON,4,19.96,4.99,N
54,TERESA,ROGERS,4,19.96,4.99,N
114,GRACE,ELLIS,4,19.96,4.99,N
125,ETHEL,WEBB,4,19.96,4.99,N
137,RHONDA,KENNEDY,4,19.96,4.99,N
181,ANA,BRADLEY,4,19.96,4.99,N
209,TONYA,CHAPMAN,4,19.96,4.99,N
349,JOE,GILLILAND,4,19.96,4.99,N
429,FREDERICK,ISBELL,4,19.96,4.99,N
495,CHARLIE,BESS,4,19.96,4.99,N
5,ELIZABETH,BROWN,5,19.95,3.99,N
94,NORMA,GONZALES,5,19.95,3.99,N
190,YOLANDA,WEAVER,5,19.95,3.99,N
194,KRISTEN,CHAVEZ,5,19.95,3.99,N
249,DORA,MEDINA,5,19.95,3.99,N
308,THOMAS,GRIGSBY,5,19.95,3.99,N
364,BENJAMIN,VARNEY,5,19.95,3.99,N
393,PHILIP,CAUSEY,5,19.95,3.99,N
426,BRADLEY,MOTLEY,5,19.95,3.99,N
85,ANNE,POWELL,6,19.94,3.32,N
129,CARRIE,PORTER,6,19.94,3.32,N
132,ESTHER,CRAWFORD,6,19.94,3.32,N
498,GENE,SANBORN,6,19.94,3.32,N
453,CALVIN,MARTEL,3,18.97,6.32,N
100,ROBIN,HAYES,4,18.96,4.74,N
203,TARA,RYAN,4,18.96,4.74,N
298,ERIKA,PENA,4,18.96,4.74,N
305,RICHARD,MCCRARY,4,18.96,4.74,N
360,RALPH,MADRIGAL,4,18.96,4.74,N
442,LEROY,BUSTAMANTE,4,18.96,4.74,N
484,ROBERTO,VU,4,18.96,4.74,N
538,TED,BREAUX,4,18.96,4.74,N
55,DORIS,REED,5,18.95,3.79,N
427,JESUS,MCCARTNEY,5,18.95,3.79,N
540,TYRONE,ASHER,5,18.95,3.79,N
358,SAMUEL,MARLOW,6,18.94,3.16,N
533,JESSIE,MILAM,6,18.94,3.16,N
47,FRANCES,PARKER,3,17.97,5.99,N
78,LORI,WOOD,3,17.97,5.99,N
251,VICKIE,BREWER,3,17.97,5.99,N
285,MIRIAM,MCKINNEY,3,17.97,5.99,N
353,JONATHAN,SCARBOROUGH,3,17.97,5.99,N
379,CARLOS,COUGHLIN,3,17.97,5.99,N
519,RON,DELUCA,3,17.97,5.99,N
134,EMMA,BOYD,4,17.96,4.49,N
392,SEAN,DOUGLASS,4,17.96,4.49,N
465,FLOYD,GANDY,4,17.96,4.49,N
489,RICARDO,MEADOR,4,17.96,4.49,N
562,WALLACE,SLONE,4,17.96,4.49,N
45,JANET,PHILLIPS,5,17.95,3.59,N
283,FELICIA,SUTTON,5,17.95,3.59,N
365,BRUCE,SCHWARZ,5,17.95,3.59,N
568,ALBERTO,HENNING,5,17.95,3.59,N
35,VIRGINIA,GREEN,6,17.94,2.99,N
191,JEANETTE,GREENE,6,17.94,2.99,N
438,BARRY,LOVELACE,6,17.94,2.99,N
119,SHERRY,MARSHALL,3,16.97,5.66,N
164,JOANN,GARDNER,3,16.97,5.66,N
244,VIOLA,HANSON,3,16.97,5.66,N
272,KAY,CALDWELL,3,16.97,5.66,N
565,JAIME,NETTLES,3,16.97,5.66,N
40,AMANDA,CARTER,4,16.96,4.24,N
147,JOANNE,ROBERTSON,4,16.96,4.24,N
156,BERTHA,FERGUSON,4,16.96,4.24,N
174,YVONNE,WATKINS,4,16.96,4.24,N
357,KEITH,RICO,4,16.96,4.24,N
486,GLEN,TALBERT,4,16.96,4.24,N
522,ARNOLD,HAVENS,4,16.96,4.24,N
544,CODY,NOLEN,4,16.96,4.24,N
566,CASEY,MENA,4,16.96,4.24,N
23,SARAH,LEWIS,5,16.95,3.39,N
143,LESLIE,GORDON,5,16.95,3.39,N
173,AUDREY,RAY,5,16.95,3.39,N
279,DIANNE,SHELTON,5,16.95,3.39,N
381,BOBBY,BOUDREAU,5,16.95,3.39,N
386,TODD,TAN,5,16.95,3.39,N
4,BARBARA,JONES,6,16.94,2.82,N
11,LISA,ANDERSON,3,15.97,5.32,N
80,MARILYN,ROSS,3,15.97,5.32,N
167,SALLY,PIERCE,3,15.97,5.32,N
224,PEARL,GARZA,3,15.97,5.32,N
265,JENNIE,TERRY,3,15.97,5.32,N
313,DONALD,MAHON,3,15.97,5.32,N
32,AMY,LOPEZ,4,15.96,3.99,N
44,MARIE,TURNER,4,15.96,3.99,N
112,ROSA,REYNOLDS,4,15.96,3.99,N
140,EVA,RAMOS,4,15.96,3.99,N
255,IRMA,PEARSON,4,15.96,3.99,N
326,JOSE,ANDREW,4,15.96,3.99,N
354,JUSTIN,NGO,4,15.96,3.99,N
404,STANLEY,SCROGGINS,4,15.96,3.99,N
463,DARRELL,POWER,4,15.96,3.99,N
587,SERGIO,STANFIELD,4,15.96,3.99,N
10,DOROTHY,TAYLOR,5,15.95,3.19,N
38,MARTHA,GONZALEZ,5,15.95,3.19,N
216,NATALIE,MEYER,5,15.95,3.19,N
382,VICTOR,BARKLEY,5,15.95,3.19,N
534,CHRISTIAN,JUNG,5,15.95,3.19,N
574,JULIAN,VEST,5,15.95,3.19,N
395,JOHNNY,TURPIN,6,15.94,2.66,N
430,RAY,HOULE,6,15.94,2.66,N
92,TINA,SIMMONS,3,14.97,4.99,N
185,ROBERTA,HARPER,3,14.97,4.99,N
217,AGNES,BISHOP,3,14.97,4.99,N
240,MARLENE,WELCH,3,14.97,4.99,N
342,HAROLD,MARTINO,3,14.97,4.99,N
483,VERNON,CHAPA,3,14.97,4.99,N
507,EDGAR,RHOADS,3,14.97,4.99,N
512,CECIL,VINES,3,14.97,4.99,N
578,WILLARD,LUMPKIN,3,14.97,4.99,N
20,SHARON,ROBINSON,4,14.96,3.74,N
139,AMBER,DIXON,4,14.96,3.74,N
183,IDA,ANDREWS,4,14.96,3.74,N
205,EILEEN,CARR,4,14.96,3.74,N
212,WILMA,RICHARDS,4,14.96,3.74,N
229,TAMARA,NGUYEN,4,14.96,3.74,N
292,MISTY,LAMBERT,4,14.96,3.74,N
318,BRIAN,WYMAN,4,14.96,3.74,N
333,ANDREW,PURDY,4,14.96,3.74,N
422,MELVIN,ELLINGTON,4,14.96,3.74,N
499,MARC,OUTLAW,4,14.96,3.74,N
123,SHANNON,FREEMAN,5,14.95,2.99,N
177,SAMANTHA,DUNCAN,5,14.95,2.99,N
362,NICHOLAS,BARFIELD,5,14.95,2.99,N
377,HOWARD,FORTNER,5,14.95,2.99,N
428,HERBERT,KRUGER,5,14.95,2.99,N
84,SARA,PERRY,6,14.94,2.49,N
387,JESSE,SCHILLING,6,14.94,2.49,N
514,FRANKLIN,TROUTMAN,6,14.94,2.49,N
8,SUSAN,WILSON,3,13.97,4.66,N
71,KATHY,JAMES,3,13.97,4.66,N
88,BONNIE,HUGHES,3,13.97,4.66,N
269,CASSANDRA,WALTERS,3,13.97,4.66,N
375,AARON,SELBY,3,13.97,4.66,N
389,ALAN,KAHN,3,13.97,4.66,N
396,EARL,SHANKS,3,13.97,4.66,N
432,EDWIN,BURK,3,13.97,4.66,N
577,CLIFTON,MALCOLM,3,13.97,4.66,N
52,JULIE,SANCHEZ,4,13.96,3.49,N
56,GLORIA,COOK,4,13.96,3.49,N
67,KELLY,TORRES,4,13.96,3.49,N
133,PAULINE,HENRY,4,13.96,3.49,N
166,LYNN,PAYNE,4,13.96,3.49,N
182,RENEE,LANE,4,13.96,3.49,N
188,MELANIE,ARMSTRONG,4,13.96,3.49,N
228,ALLISON,STANLEY,4,13.96,3.49,N
233,LILLIE,KIM,4,13.96,3.49,N
264,GWENDOLYN,MAY,4,13.96,3.49,N
282,JENNY,CASTRO,4,13.96,3.49,N
447,CLIFFORD,BOWENS,4,13.96,3.49,N
473,JORGE,OLIVARES,4,13.96,3.49,N
481,HERMAN,DEVORE,4,13.96,3.49,N
585,PERRY,SWAFFORD,4,13.96,3.49,N
28,CYNTHIA,YOUNG,5,13.95,2.79,N
151,MEGAN,PALMER,5,13.95,2.79,N
189,LORETTA,CARPENTER,5,13.95,2.79,N
254,MAXINE,SILVA,5,13.95,2.79,N
81,ANDREA,HENDERSON,3,12.97,4.32,N
243,LYDIA,BURKE,3,12.97,4.32,N
258,MYRTLE,FLEMING,3,12.97,4.32,N
276,BRANDY,GRAVES,3,12.97,4.32,N
311,PAUL,TROUT,3,12.97,4.32,N
325,TIMOTHY,BUNN,3,12.97,4.32,N
331,ERIC,ROBERT,3,12.97,4.32,N
348,ROGER,QUINTANILLA,3,12.97,4.32,N
402,LUIS,YANEZ,3,12.97,4.32,N
421,LEE,HAWKS,3,12.97,4.32,N
424,KYLE,SPURLOCK,3,12.97,4.32,N
513,DUANE,TUBBS,3,12.97,4.32,N
520,MITCHELL,WESTMORELAND,3,12.97,4.32,N
572,SIDNEY,BURLESON,3,12.97,4.32,N
579,DARYL,LARUE,3,12.97,4.32,N
30,MELISSA,KING,4,12.96,3.24,N
42,CAROLYN,PEREZ,4,12.96,3.24,N
74,DENISE,KELLY,4,12.96,3.24,N
91,LOIS,BUTLER,4,12.96,3.24,N
153,SUZANNE,NICHOLS,4,12.96,3.24,N
227,COLLEEN,BURTON,4,12.96,3.24,N
275,CAROLE,BARNETT,4,12.96,3.24,N
359,WILLIE,MARKHAM,4,12.96,3.24,N
361,LAWRENCE,LAWTON,4,12.96,3.24,N
476,DERRICK,BOURQUE,4,12.96,3.24,N
493,BRENT,HARKINS,4,12.96,3.24,N
546,KELLY,KNOTT,4,12.96,3.24,N
559,EVERETT,BANDA,4,12.96,3.24,N
162,LAUREN,HUDSON,5,12.95,2.59,N
237,TANYA,GILBERT,5,12.95,2.59,N
246,MARIAN,MENDOZA,5,12.95,2.59,N
416,JEFFERY,PINSON,5,12.95,2.59,N
76,IRENE,PRICE,6,12.94,2.16,N
34,REBECCA,SCOTT,3,11.97,3.99,N
105,DAWN,SULLIVAN,3,11.97,3.99,N
127,ELAINE,STEVENS,3,11.97,3.99,N
206,TERRI,VASQUEZ,3,11.97,3.99,N
252,MATTIE,HOFFMAN,3,11.97,3.99,N
346,ARTHUR,SIMPKINS,3,11.97,3.99,N
372,STEVE,MACKENZIE,3,11.97,3.99,N
400,BRYAN,HARDISON,3,11.97,3.99,N
437,RANDALL,NEUMANN,3,11.97,3.99,N
557,FELIX,GAFFNEY,3,11.97,3.99,N
581,VIRGIL,WOFFORD,3,11.97,3.99,N
582,ANDY,VANHORN,3,11.97,3.99,N
50,DIANE,COLLINS,4,11.96,2.99,N
278,BILLIE,HORTON,4,11.96,2.99,N
345,CARL,ARTIS,4,11.96,2.99,N
374,JEREMY,HURTADO,4,11.96,2.99,N
208,LUCY,WHEELER,5,11.95,2.39,N
241,HEIDI,LARSON,5,11.95,2.39,N
37,PAMELA,BAKER,3,10.97,3.66,N
59,CHERYL,MURPHY,3,10.97,3.66,N
115,WENDY,HARRISON,3,10.97,3.66,N
118,KIM,CRUZ,3,10.97,3.66,N
160,ERIN,DUNN,3,10.97,3.66,N
214,KRISTIN,JOHNSTON,3,10.97,3.66,N
238,NELLIE,GARRETT,3,10.97,3.66,N
317,EDWARD,BAUGH,3,10.97,3.66,N
334,RAYMOND,MCWHORTER,3,10.97,3.66,N
408,MANUEL,MURRELL,3,10.97,3.66,N
536,FERNANDO,CHURCHILL,3,10.97,3.66,N
575,ISAAC,OGLESBY,3,10.97,3.66,N
7,MARIA,MILLER,5,10.95,2.19,N
53,HEATHER,MORRIS,5,10.95,2.19,N
391,CLARENCE,GAMEZ,5,10.95,2.19,N
15,HELEN,HARRIS,3,9.97,3.32,N
138,HAZEL,WARREN,3,9.97,3.32,N
280,TRACEY,BARRETT,3,9.97,3.32,N
344,HENRY,BILLINGSLEY,3,9.97,3.32,N
351,JACK,FOUST,3,9.97,3.32,N
470,GORDON,ALLARD,3,9.97,3.32,N
502,BRETT,CORNWELL,3,9.97,3.32,N
524,JARED,ELY,3,9.97,3.32,N
539,MATHEW,BOLIN,3,9.97,3.32,N
202,CARLA,GUTIERREZ,4,9.96,2.49,N
19,RUTH,MARTINEZ,3,8.97,2.99,N
90,RUBY,WASHINGTON,3,8.97,2.99,N
97,ANNIE,RUSSELL,3,8.97,2.99,N
154,MICHELE,GRANT,3,8.97,2.99,N
199,BETH,FRANKLIN,3,8.97,2.99,N
245,COURTNEY,DAY,3,8.97,2.99,N
284,SONIA,GREGORY,3,8.97,2.99,N
291,TONI,HOLT,3,8.97,2.99,N
301,ROBERT,BAUGHMAN,3,8.97,2.99,N
323,MATTHEW,MAHAN,3,8.97,2.99,N
356,GERALD,FULTZ,3,8.97,2.99,N
418,JEFF,EAST,3,8.97,2.99,N
449,OSCAR,AQUINO,3,8.97,2.99,N
503,ANGEL,BARCLAY,3,8.97,2.99,N
591,KENT,ARSENAULT,3,8.97,2.99,N
6,JENNIFER,DAVIS,4,8.96,2.24,N
95,PAULA,BRYANT,4,8.96,2.24,N
104,RITA,GRAHAM,4,8.96,2.24,N
350,JUAN,FRALEY,4,8.96,2.24,N
597,FREDDIE,DUGGAN,3,7.97,2.66,N
103,GLADYS,HAMILTON,4,7.96,1.99,N
455,JON,WILES,4,7.96,1.99,N
527,CORY,MEEHAN,4,7.96,1.99,N
58,JEAN,BELL,3,6.97,2.32,N
296,RAMONA,HALE,3,6.97,2.32,N
135,JUANITA,MASON,3,5.97,1.99,N
420,JACOB,LANCE,3,5.97,1.99,N
530,DARRYL,ASHCRAFT,3,5.97,1.99,N
548,ALLAN,CORNISH,3,5.97,1.99,N
218,VERA,MCCOY,3,4.97,1.66,N
385,PHILLIP,HOLM,3,4.97,1.66,N
411,NORMAN,CURRIER,3,4.97,1.66,N
172,BERNICE,WILLIS,3,3.97,1.32,N
529,ERIK,GUILLEN,3,3.97,1.32,N
