avg_prev_30,city,country,country_spike_rank,daily_sum,deviation_from_avg,first_name,last_name,payment_count,spike_date,store_id
0.03,Gaziantep,Turkey,3,16.98,16.95,COREY,HAUSER,2,2005-05-29,1
0.03,Ktahya,Turkey,8,14.97,14.94,SHEILA,WELLS,3,2005-05-31,1
0.03,Purnea (Purnia),India,32,14.98,14.95,BRADLEY,MOTLEY,2,2005-06-16,1
0.07,Shimonoseki,Japan,11,15.95,15.88,ANGELA,HERNANDEZ,5,2005-06-19,2
0.1,Hoshiarpur,India,9,18.97,18.87,ALLEN,BUTTERFIELD,3,2005-07-29,2
0.1,Po,Brazil,9,18.97,18.87,ELLEN,SIMPSON,3,2005-07-06,1
0.1,Valle de la Pascua,Venezuela,1,20.97,20.87,KRISTINA,CHAMBERS,3,2005-06-15,1
0.13,Batman,Turkey,2,17.97,17.84,BERNICE,WILLIS,3,2005-07-08,1
0.13,Sasebo,Japan,8,16.97,16.84,MARY,SMITH,3,2005-06-15,1
0.2,Ashqelon,Israel,1,20.97,20.77,LEWIS,LYMAN,3,2005-06-19,1
0.2,Buenaventura,Colombia,4,14.97,14.77,JACKIE,LYNCH,3,2005-07-06,1
0.2,Pereira,Colombia,2,17.98,17.78,STACY,CUNNINGHAM,2,2005-07-08,2
0.23,Huejutla de Reyes,Mexico,5,20.96,20.73,ANDY,VANHORN,4,2005-07-27,2
0.23,Kamarhati,India,15,16.96,16.73,BRENDA,WRIGHT,4,2005-06-18,2
0.23,Sawhaj,Egypt,1,24.95,24.72,ALFRED,CASILLAS,5,2005-07-27,2
0.27,York,United Kingdom,1,17.97,17.7,GILBERT,SLEDGE,3,2005-06-18,2
0.3,Bucuresti,Romania,1,29.93,29.63,KEN,PREWITT,7,2005-07-08,2
0.3,Gulbarga,India,27,15.97,15.67,WAYNE,TRUONG,3,2005-07-27,2
0.3,Imus,Philippines,16,15.98,15.68,JOE,GILLILAND,2,2005-06-20,2
0.3,Joliet,United States,15,16.98,16.68,NATHANIEL,ADAM,2,2005-07-06,1
0.3,San Felipe del Progreso,Mexico,17,16.95,16.65,RONALD,WEINER,5,2005-08-17,2
0.33,La Plata,Argentina,4,16.98,16.65,JULIA,FLORES,2,2005-06-15,1
0.33,San Bernardino,United States,16,16.97,16.64,PATRICIA,JOHNSON,3,2005-07-27,1
0.33,Stockport,United Kingdom,6,13.98,13.65,DAN,PAINE,2,2005-06-18,1
0.33,Zapopan,Mexico,18,16.97,16.64,FLOYD,GANDY,3,2005-08-17,1
0.37,Bamenda,Cameroon,1,22.96,22.59,ALBERT,CROUSE,4,2005-07-27,1
0.37,Ourense (Orense),Spain,1,15.98,15.61,WESLEY,BULL,2,2005-07-06,2
0.37,Southend-on-Sea,United Kingdom,5,14.98,14.61,SANDRA,MARTIN,2,2005-06-17,2
0.4,Ahmadnagar,India,17,16.97,16.57,SHERRI,RHODES,3,2005-06-18,1
