average_payment,customer_id,customer_name,is_potentially_suspicious,max_payment,payment_count,staff_id,staff_name,total_amount
0.9899999999999999,103,GLADYS HAMILTON,0,0.99,3,1,Mike Hillyer,2.9699999999999998
0.9899999999999999,430,RAY HOULE,0,0.99,3,2,Jon Stephens,2.9699999999999998
0.9899999999999999,438,BARRY LOVELACE,0,0.99,3,2,Jon Stephens,2.9699999999999998
0.99,104,RITA GRAHAM,0,0.99,1,1,Mike Hillyer,0.99
0.99,12,NANCY THOMAS,0,0.99,1,1,Mike Hillyer,0.99
0.99,128,MARJORIE TUCKER,0,0.99,1,1,Mike Hillyer,0.99
0.99,133,PAULINE HENRY,0,0.99,1,1,Mike Hillyer,0.99
0.99,134,EMMA BOYD,0,0.99,2,2,Jon Stephens,1.98
0.99,138,HAZEL WARREN,0,0.99,2,2,Jon Stephens,1.98
0.99,15,HELEN HARRIS,0,0.99,1,2,Jon Stephens,0.99
0.99,157,DARLENE ROSE,0,0.99,1,2,Jon Stephens,0.99
0.99,158,VERONICA STONE,0,0.99,1,1,Mike Hillyer,0.99
0.99,159,JILL HAWKINS,0,0.99,2,1,Mike Hillyer,1.98
0.99,172,BERNICE WILLIS,0,0.99,1,1,Mike Hillyer,0.99
0.99,184,VIVIAN RUIZ,0,0.99,1,1,Mike Hillyer,0.99
0.99,198,ELSIE KELLEY,0,0.99,1,2,Jon Stephens,0.99
0.99,202,CARLA GUTIERREZ,0,0.99,1,2,Jon Stephens,0.99
0.99,208,LUCY WHEELER,0,0.99,2,2,Jon Stephens,1.98
0.99,220,CHARLENE ALVAREZ,0,0.99,1,1,Mike Hillyer,0.99
0.99,229,TAMARA NGUYEN,0,0.99,1,2,Jon Stephens,0.99
0.99,231,GEORGIA JACOBS,0,0.99,1,2,Jon Stephens,0.99
0.99,232,CONSTANCE REID,0,0.99,1,2,Jon Stephens,0.99
0.99,235,JACKIE LYNCH,0,0.99,1,2,Jon Stephens,0.99
0.99,248,CAROLINE BOWMAN,0,0.99,1,2,Jon Stephens,0.99
0.99,257,MARSHA DOUGLAS,0,0.99,1,1,Mike Hillyer,0.99
0.99,274,NAOMI JENNINGS,0,0.99,1,1,Mike Hillyer,0.99
0.99,276,BRANDY GRAVES,0,0.99,1,1,Mike Hillyer,0.99
0.99,284,SONIA GREGORY,0,0.99,1,1,Mike Hillyer,0.99
0.99,296,RAMONA HALE,0,0.99,1,1,Mike Hillyer,0.99
0.99,300,JOHN FARNSWORTH,0,0.99,1,2,Jon Stephens,0.99
0.99,305,RICHARD MCCRARY,0,0.99,1,2,Jon Stephens,0.99
