s01,s02,s03,s04,s05,s06
123001,4000-1900-3000,SAVINGS,200000,INACTIVE,P
123001,5000-1700-5000,RECURRING DEPOSITS,5000000,ACTIVE,S
123001,9000-1700-7000-4300,CREDITCARD,0,INACTIVE,P
123002,4000-1901-3001,SAVINGS,207500,ACTIVE,P
123002,5000-1701-5001,RECURRING DEPOSITS,5065000,ACTIVE,S
123003,4000-1902-3002,SAVINGS,215000,ACTIVE,P
123003,5000-1702-5002,RECURRING DEPOSITS,5130000,ACTIVE,S
123004,4000-1903-3003,SAVINGS,222500,ACTIVE,P
123004,5000-1703-5003,RECURRING DEPOSITS,5195000,ACTIVE,S
123004,9000-1703-7003-4303,CREDITCARD,0,ACTIVE,P
123005,4000-1904-3004,SAVINGS,230000,ACTIVE,P
123005,5000-1704-5004,RECURRING DEPOSITS,5260000,ACTIVE,S
123006,4000-1905-3005,SAVINGS,237500,ACTIVE,P
123006,5000-1705-5005,RECURRING DEPOSITS,5325000,ACTIVE,S
123007,4000-1906-3006,SAVINGS,245000,ACTIVE,P
123007,5000-1706-5006,RECURRING DEPOSITS,5390000,ACTIVE,S
123007,9000-1706-7006-4306,CREDITCARD,0,INACTIVE,P
123008,4000-1907-3007,SAVINGS,252500,ACTIVE,P
123008,5000-1707-5007,RECURRING DEPOSITS,5455000,ACTIVE,S
123009,4000-1908-3008,SAVINGS,260000,ACTIVE,P
123009,5000-1708-5008,RECURRING DEPOSITS,5520000,ACTIVE,S
123010,4000-1909-3009,SAVINGS,267500,ACTIVE,P
123010,5000-1709-5009,RECURRING DEPOSITS,5585000,ACTIVE,S
123010,9000-1709-7009-4309,CREDITCARD,,ACTIVE,P
123011,4000-1910-3010,SAVINGS,275000,ACTIVE,P
123011,5000-1710-5010,RECURRING DEPOSITS,5650000,ACTIVE,S
123012,4000-1911-3011,SAVINGS,282500,INACTIVE,P
123012,5000-1711-5011,RECURRING DEPOSITS,5715000,ACTIVE,S
123013,4000-1912-3012,SAVINGS,290000,ACTIVE,P
123013,5000-1712-5012,RECURRING DEPOSITS,5780000,ACTIVE,S
123013,9000-1712-7012-4312,CREDITCARD,0,INACTIVE,P
123014,4000-1913-3013,SAVINGS,297500,ACTIVE,P
123014,5000-1713-5013,RECURRING DEPOSITS,5845000,ACTIVE,S
123015,4000-1914-3014,SAVINGS,305000,ACTIVE,P
123015,5000-1714-5014,RECURRING DEPOSITS,5910000,ACTIVE,S
123016,4000-1915-3015,SAVINGS,312500,ACTIVE,P
123016,5000-1715-5015,RECURRING DEPOSITS,5975000,ACTIVE,S
123016,9000-1715-7015-4315,CREDITCARD,0,ACTIVE,P
123017,4000-1916-3016,SAVINGS,320000,ACTIVE,P
123017,5000-1716-5016,RECURRING DEPOSITS,6040000,ACTIVE,S
123018,4000-1917-3017,SAVINGS,327500,ACTIVE,P
123018,5000-1717-5017,RECURRING DEPOSITS,6105000,ACTIVE,S
123019,4000-1918-3018,SAVINGS,335000,ACTIVE,P
123019,5000-1718-5018,RECURRING DEPOSITS,6170000,ACTIVE,S
123019,9000-1718-7018-4318,CREDITCARD,0,INACTIVE,P
123020,4000-1919-3019,SAVINGS,342500,ACTIVE,P
123020,5000-1719-5019,RECURRING DEPOSITS,6235000,ACTIVE,S
123021,4000-1920-3020,SAVINGS,350000,ACTIVE,P
123021,5000-1720-5020,RECURRING DEPOSITS,6300000,ACTIVE,S
123022,4000-1921-3021,SAVINGS,357500,ACTIVE,P
123022,5000-1721-5021,RECURRING DEPOSITS,6365000,ACTIVE,S
123022,9000-1721-7021-4321,CREDITCARD,0,ACTIVE,P
123023,4000-1922-3022,SAVINGS,365000,INACTIVE,P
123023,5000-1722-5022,RECURRING DEPOSITS,6430000,ACTIVE,S
123024,4000-1923-3023,SAVINGS,372500,ACTIVE,P
123024,5000-1723-5023,RECURRING DEPOSITS,6495000,ACTIVE,S
123025,4000-1924-3024,SAVINGS,380000,ACTIVE,P
123025,5000-1724-5024,RECURRING DEPOSITS,6560000,ACTIVE,S
123025,9000-1724-7024-4324,CREDITCARD,,INACTIVE,P
123026,4000-1925-3025,SAVINGS,387500,ACTIVE,P
123026,5000-1725-5025,RECURRING DEPOSITS,6625000,ACTIVE,S
123027,4000-1926-3026,SAVINGS,395000,ACTIVE,P
123027,5000-1726-5026,RECURRING DEPOSITS,6690000,ACTIVE,S
123028,4000-1927-3027,SAVINGS,402500,ACTIVE,P
123028,5000-1727-5027,RECURRING DEPOSITS,6755000,ACTIVE,S
123028,9000-1727-7027-4327,CREDITCARD,0,ACTIVE,P
123029,4000-1928-3028,SAVINGS,410000,ACTIVE,P
123029,5000-1728-5028,RECURRING DEPOSITS,6820000,ACTIVE,S
123030,4000-1929-3029,SAVINGS,417500,ACTIVE,P
123030,5000-1729-5029,RECURRING DEPOSITS,6885000,ACTIVE,S
123031,4000-1930-3030,SAVINGS,425000,ACTIVE,P
123031,5000-1730-5030,RECURRING DEPOSITS,6950000,ACTIVE,S
123031,9000-1730-7030-4330,CREDITCARD,0,INACTIVE,P
123032,4000-1931-3031,SAVINGS,432500,ACTIVE,P
123032,5000-1731-5031,RECURRING DEPOSITS,7015000,ACTIVE,S
123033,4000-1932-3032,SAVINGS,440000,ACTIVE,P
123033,5000-1732-5032,RECURRING DEPOSITS,7080000,ACTIVE,S
123034,4000-1933-3033,SAVINGS,447500,INACTIVE,P
123034,5000-1733-5033,RECURRING DEPOSITS,7145000,ACTIVE,S
123034,9000-1733-7033-4333,CREDITCARD,0,ACTIVE,P
123035,4000-1934-3034,SAVINGS,455000,ACTIVE,P
123035,5000-1734-5034,RECURRING DEPOSITS,7210000,ACTIVE,S
123036,4000-1935-3035,SAVINGS,462500,ACTIVE,P
123036,5000-1735-5035,RECURRING DEPOSITS,7275000,ACTIVE,S
123037,4000-1936-3036,SAVINGS,470000,ACTIVE,P
123037,5000-1736-5036,RECURRING DEPOSITS,7340000,ACTIVE,S
123037,9000-1736-7036-4336,CREDITCARD,0,INACTIVE,P
123038,4000-1937-3037,SAVINGS,477500,ACTIVE,P
123038,5000-1737-5037,RECURRING DEPOSITS,7405000,ACTIVE,S
123039,4000-1938-3038,SAVINGS,485000,ACTIVE,P
123039,5000-1738-5038,RECURRING DEPOSITS,7470000,ACTIVE,S
123040,4000-1939-3039,SAVINGS,492500,ACTIVE,P
123040,5000-1739-5039,RECURRING DEPOSITS,7535000,ACTIVE,S
123040,9000-1739-7039-4339,CREDITCARD,,ACTIVE,P
123041,4000-1940-3040,SAVINGS,500000,ACTIVE,P
123041,5000-1740-5040,RECURRING DEPOSITS,7600000,ACTIVE,S
123042,4000-1941-3041,SAVINGS,507500,ACTIVE,P
123042,5000-1741-5041,RECURRING DEPOSITS,7665000,ACTIVE,S
123043,4000-1942-3042,SAVINGS,515000,ACTIVE,P
123043,5000-1742-5042,RECURRING DEPOSITS,7730000,ACTIVE,S
