r01,r02,r03,r04
123001,4000-1900-3000,SAVINGS,
123001,5000-1700-5000,RECURRING DEPOSITS,4000-1900-3000
,9000-1700-7000-4300,Credit Card,4000-1900-3000
123002,4000-1901-3001,SAVINGS,
123002,5000-1701-5001,RECURRING DEPOSITS,4000-1901-3001
123003,4000-1902-3002,SAVINGS,
123003,5000-1702-5002,RECURRING DEPOSITS,4000-1902-3002
123004,4000-1903-3003,SAVINGS,
123004,5000-1703-5003,RECURRING DEPOSITS,4000-1903-3003
,9000-1703-7003-4303,Credit Card,4000-1903-3003
123005,4000-1904-3004,SAVINGS,
123005,5000-1704-5004,RECURRING DEPOSITS,4000-1904-3004
123006,4000-1905-3005,SAVINGS,
123006,5000-1705-5005,RECURRING DEPOSITS,4000-1905-3005
123007,4000-1906-3006,SAVINGS,
123007,5000-1706-5006,RECURRING DEPOSITS,4000-1906-3006
,9000-1706-7006-4306,Credit Card,4000-1906-3006
123008,4000-1907-3007,SAVINGS,
123008,5000-1707-5007,RECURRING DEPOSITS,4000-1907-3007
123009,4000-1908-3008,SAVINGS,
123009,5000-1708-5008,RECURRING DEPOSITS,4000-1908-3008
123010,4000-1909-3009,SAVINGS,
123010,5000-1709-5009,RECURRING DEPOSITS,4000-1909-3009
,9000-1709-7009-4309,Credit Card,4000-1909-3009
123011,4000-1910-3010,SAVINGS,
123011,5000-1710-5010,RECURRING DEPOSITS,4000-1910-3010
123012,4000-1911-3011,SAVINGS,
123012,5000-1711-5011,RECURRING DEPOSITS,4000-1911-3011
123013,4000-1912-3012,SAVINGS,
123013,5000-1712-5012,RECURRING DEPOSITS,4000-1912-3012
,9000-1712-7012-4312,Credit Card,4000-1912-3012
123014,4000-1913-3013,SAVINGS,
123014,5000-1713-5013,RECURRING DEPOSITS,4000-1913-3013
123015,4000-1914-3014,SAVINGS,
123015,5000-1714-5014,RECURRING DEPOSITS,4000-1914-3014
123016,4000-1915-3015,SAVINGS,
123016,5000-1715-5015,RECURRING DEPOSITS,4000-1915-3015
,9000-1715-7015-4315,Credit Card,4000-1915-3015
123017,4000-1916-3016,SAVINGS,
123017,5000-1716-5016,RECURRING DEPOSITS,4000-1916-3016
123018,4000-1917-3017,SAVINGS,
123018,5000-1717-5017,RECURRING DEPOSITS,4000-1917-3017
123019,4000-1918-3018,SAVINGS,
123019,5000-1718-5018,RECURRING DEPOSITS,4000-1918-3018
,9000-1718-7018-4318,Credit Card,4000-1918-3018
123020,4000-1919-3019,SAVINGS,
123020,5000-1719-5019,RECURRING DEPOSITS,4000-1919-3019
123021,4000-1920-3020,SAVINGS,
123021,5000-1720-5020,RECURRING DEPOSITS,4000-1920-3020
123022,4000-1921-3021,SAVINGS,
123022,5000-1721-5021,RECURRING DEPOSITS,4000-1921-3021
,9000-1721-7021-4321,Credit Card,4000-1921-3021
123023,4000-1922-3022,SAVINGS,
123023,5000-1722-5022,RECURRING DEPOSITS,4000-1922-3022
123024,4000-1923-3023,SAVINGS,
123024,5000-1723-5023,RECURRING DEPOSITS,4000-1923-3023
123025,4000-1924-3024,SAVINGS,
123025,5000-1724-5024,RECURRING DEPOSITS,4000-1924-3024
,9000-1724-7024-4324,Credit Card,4000-1924-3024
123026,4000-1925-3025,SAVINGS,
123026,5000-1725-5025,RECURRING DEPOSITS,4000-1925-3025
123027,4000-1926-3026,SAVINGS,
123027,5000-1726-5026,RECURRING DEPOSITS,4000-1926-3026
123028,4000-1927-3027,SAVINGS,
123028,5000-1727-5027,RECURRING DEPOSITS,4000-1927-3027
,9000-1727-7027-4327,Credit Card,4000-1927-3027
123029,4000-1928-3028,SAVINGS,
123029,5000-1728-5028,RECURRING DEPOSITS,4000-1928-3028
123030,4000-1929-3029,SAVINGS,
123030,5000-1729-5029,RECURRING DEPOSITS,4000-1929-3029
123031,4000-1930-3030,SAVINGS,
123031,5000-1730-5030,RECURRING DEPOSITS,4000-1930-3030
,9000-1730-7030-4330,Credit Card,4000-1930-3030
123032,4000-1931-3031,SAVINGS,
123032,5000-1731-5031,RECURRING DEPOSITS,4000-1931-3031
123033,4000-1932-3032,SAVINGS,
123033,5000-1732-5032,RECURRING DEPOSITS,4000-1932-3032
123034,4000-1933-3033,SAVINGS,
123034,5000-1733-5033,RECURRING DEPOSITS,4000-1933-3033
,9000-1733-7033-4333,Credit Card,4000-1933-3033
123035,4000-1934-3034,SAVINGS,
123035,5000-1734-5034,RECURRING DEPOSITS,4000-1934-3034
123036,4000-1935-3035,SAVINGS,
123036,5000-1735-5035,RECURRING DEPOSITS,4000-1935-3035
123037,4000-1936-3036,SAVINGS,
123037,5000-1736-5036,RECURRING DEPOSITS,4000-1936-3036
,9000-1736-7036-4336,Credit Card,4000-1936-3036
123038,4000-1937-3037,SAVINGS,
123038,5000-1737-5037,RECURRING DEPOSITS,4000-1937-3037
123039,4000-1938-3038,SAVINGS,
123039,5000-1738-5038,RECURRING DEPOSITS,4000-1938-3038
123040,4000-1939-3039,SAVINGS,
123040,5000-1739-5039,RECURRING DEPOSITS,4000-1939-3039
,9000-1739-7039-4339,Credit Card,4000-1939-3039
123041,4000-1940-3040,SAVINGS,
123041,5000-1740-5040,RECURRING DEPOSITS,4000-1940-3040
123042,4000-1941-3041,SAVINGS,
123042,5000-1741-5041,RECURRING DEPOSITS,4000-1941-3041
123043,4000-1942-3042,SAVINGS,
123043,5000-1742-5042,RECURRING DEPOSITS,4000-1942-3042
