t01,t02,t03,t04,t05
4000-1900-3000,-1000.00,ATM withdrawal,NY,2020-01-05
5000-1700-5000,-2500.00,POS-Walmart,TX,2020-01-10
9000-1700-7000-4300,-4000.00,UPI transfer,WA,2020-01-15
4000-1901-3001,-5500.00,Bankers cheque,IL,2020-01-20
5000-1701-5001,7000.00,Net banking,AZ,2020-01-25
4000-1902-3002,8500.00,cheque deposit,FL,2020-01-30
5000-1702-5002,10000.00,ECS transfer,CA,2020-02-04
4000-1903-3003,11500.00,Cash Deposit,MN,2020-02-09
5000-1703-5003,-13000.00,Shopping Cart,NY,2020-02-14
9000-1703-7003-4303,-14500.00,ATM withdrawal,TX,2020-02-19
4000-1904-3004,-16000.00,POS-Walmart,WA,2020-02-24
5000-1704-5004,-17500.00,UPI transfer,IL,2020-02-29
4000-1905-3005,-19000.00,Bankers cheque,AZ,2020-03-05
5000-1705-5005,20500.00,Net banking,FL,2020-03-10
4000-1906-3006,22000.00,cheque deposit,CA,2020-03-15
5000-1706-5006,23500.00,ECS transfer,MN,2020-03-20
9000-1706-7006-4306,25000.00,Cash Deposit,NY,2020-03-25
4000-1907-3007,-1000.00,Shopping Cart,TX,2020-03-30
5000-1707-5007,-2500.00,ATM withdrawal,WA,2020-04-04
4000-1908-3008,-4000.00,POS-Walmart,IL,2020-04-09
5000-1708-5008,-5500.00,UPI transfer,AZ,2020-04-14
4000-1909-3009,-7000.00,Bankers cheque,FL,2020-04-19
5000-1709-5009,8500.00,Net banking,CA,2020-04-24
9000-1709-7009-4309,10000.00,cheque deposit,MN,2020-04-29
4000-1910-3010,11500.00,ECS transfer,NY,2020-05-04
5000-1710-5010,13000.00,Cash Deposit,TX,2020-05-09
4000-1911-3011,-14500.00,Shopping Cart,WA,2020-05-14
5000-1711-5011,-16000.00,ATM withdrawal,IL,2020-05-19
4000-1912-3012,-17500.00,POS-Walmart,AZ,2020-05-24
5000-1712-5012,-19000.00,UPI transfer,FL,2020-05-29
9000-1712-7012-4312,-20500.00,Bankers cheque,CA,2020-06-03
4000-1913-3013,22000.00,Net banking,MN,2020-06-08
5000-1713-5013,23500.00,cheque deposit,NY,2020-06-13
4000-1914-3014,25000.00,ECS transfer,TX,2020-06-18
5000-1714-5014,1000.00,Cash Deposit,WA,2020-06-23
4000-1915-3015,-2500.00,Shopping Cart,IL,2020-06-28
5000-1715-5015,-4000.00,ATM withdrawal,AZ,2020-01-05
9000-1715-7015-4315,-5500.00,POS-Walmart,FL,2020-01-10
4000-1916-3016,-7000.00,UPI transfer,CA,2020-01-15
5000-1716-5016,-8500.00,Bankers cheque,MN,2020-01-20
4000-1917-3017,10000.00,Net banking,NY,2020-01-25
5000-1717-5017,11500.00,cheque deposit,TX,2020-01-30
4000-1918-3018,13000.00,ECS transfer,WA,2020-02-04
5000-1718-5018,14500.00,Cash Deposit,IL,2020-02-09
9000-1718-7018-4318,-16000.00,Shopping Cart,AZ,2020-02-14
4000-1919-3019,-17500.00,ATM withdrawal,FL,2020-02-19
5000-1719-5019,-19000.00,POS-Walmart,CA,2020-02-24
4000-1920-3020,-20500.00,UPI transfer,MN,2020-02-29
5000-1720-5020,-22000.00,Bankers cheque,NY,2020-03-05
4000-1921-3021,23500.00,Net banking,TX,2020-03-10
5000-1721-5021,25000.00,cheque deposit,WA,2020-03-15
9000-1721-7021-4321,1000.00,ECS transfer,IL,2020-03-20
4000-1922-3022,2500.00,Cash Deposit,AZ,2020-03-25
5000-1722-5022,-4000.00,Shopping Cart,FL,2020-03-30
4000-1923-3023,-5500.00,ATM withdrawal,CA,2020-04-04
5000-1723-5023,-7000.00,POS-Walmart,MN,2020-04-09
4000-1924-3024,-8500.00,UPI transfer,NY,2020-04-14
5000-1724-5024,-10000.00,Bankers cheque,TX,2020-04-19
9000-1724-7024-4324,11500.00,Net banking,WA,2020-04-24
4000-1925-3025,13000.00,cheque deposit,IL,2020-04-29
5000-1725-5025,14500.00,ECS transfer,AZ,2020-05-04
4000-1926-3026,16000.00,Cash Deposit,FL,2020-05-09
5000-1726-5026,-17500.00,Shopping Cart,CA,2020-05-14
4000-1927-3027,-19000.00,ATM withdrawal,MN,2020-05-19
5000-1727-5027,-20500.00,POS-Walmart,NY,2020-05-24
9000-1727-7027-4327,-22000.00,UPI transfer,TX,2020-05-29
4000-1928-3028,-23500.00,Bankers cheque,WA,2020-06-03
5000-1728-5028,25000.00,Net banking,IL,2020-06-08
4000-1929-3029,1000.00,cheque deposit,AZ,2020-06-13
5000-1729-5029,2500.00,ECS transfer,FL,2020-06-18
4000-1930-3030,4000.00,Cash Deposit,CA,2020-06-23
5000-1730-5030,-5500.00,Shopping Cart,MN,2020-06-28
9000-1730-7030-4330,-7000.00,ATM withdrawal,NY,2020-01-05
4000-1931-3031,-8500.00,POS-Walmart,TX,2020-01-10
5000-1731-5031,-10000.00,UPI transfer,WA,2020-01-15
4000-1932-3032,-11500.00,Bankers cheque,IL,2020-01-20
5000-1732-5032,13000.00,Net banking,AZ,2020-01-25
4000-1933-3033,14500.00,cheque deposit,FL,2020-01-30
5000-1733-5033,16000.00,ECS transfer,CA,2020-02-04
9000-1733-7033-4333,17500.00,Cash Deposit,MN,2020-02-09
4000-1934-3034,-19000.00,Shopping Cart,NY,2020-02-14
5000-1734-5034,-20500.00,ATM withdrawal,TX,2020-02-19
4000-1935-3035,-22000.00,POS-Walmart,WA,2020-02-24
5000-1735-5035,-23500.00,UPI transfer,IL,2020-02-29
4000-1936-3036,-25000.00,Bankers cheque,AZ,2020-03-05
5000-1736-5036,1000.00,Net banking,FL,2020-03-10
9000-1736-7036-4336,2500.00,cheque deposit,CA,2020-03-15
4000-1937-3037,4000.00,ECS transfer,MN,2020-03-20
5000-1737-5037,5500.00,Cash Deposit,NY,2020-03-25
